condition,seed,task_name,realized_sample_count,realized_sample_fraction,realized_target_token_count,effective_loss_weight,frequency,kind,op,reference_learnability,formal_utility,intended_frequency,frequency_error,target_data_seen
base,0,K00_shortcut_for_A02_substitute,4393,0.017564131269191402,26358,0.017564131269191402,0.0175299779461095,shortcut,shortcut_identity,1.0,0.0,0.0175299779461095,3.415332308190355e-05,250000
base,0,K01_shortcut_for_A05_substitute,3717,0.014861342118730808,22302,0.014861342118730808,0.015236661713767,shortcut,shortcut_identity,1.0,0.0,0.015236661713767,-0.0003753195950361929,250000
base,0,K02_shortcut_for_A03_copy,6912,0.027635619242579325,41472,0.027635619242579325,0.0278779716606898,shortcut,shortcut_identity,1.0,0.0,0.0278779716606898,-0.00024235241811047456,250000
base,0,S00_surface_rotate,22080,0.0882804503582395,132480,0.0882804503582395,0.088356497064568,surface_control,surface_rotate,2.0,0.0,0.088356497064568,-7.604670632849198e-05,250000
base,0,S01_surface_rotate,3409,0.013629893807574206,20454,0.013629893807574206,0.0134641728018988,surface_control,surface_rotate,2.0,0.0,0.0134641728018988,0.0001657210056754052,250000
base,0,S02_surface_rotate,3584,0.014329580348004094,21504,0.014329580348004094,0.0142969842826973,surface_control,surface_rotate,2.0,0.0,0.0142969842826973,3.2596065306794014e-05,250000
base,0,U00_unrelated_substitute,2424,0.009691658137154554,14544,0.009691658137154554,0.0099539167317642,unrelated,substitute,1.5,0.0,0.0099539167317642,-0.00026225859460964583,250000
base,0,U01_unrelated_substitute,3000,0.011994626407369499,18000,0.011994626407369499,0.0120540867248666,unrelated,substitute,1.5,0.0,0.0120540867248666,-5.9460317497100554e-05,250000
base,0,U02_unrelated_substitute,2710,0.010835145854657113,16260,0.010835145854657113,0.0109061632033235,unrelated,substitute,1.5,0.0,0.0109061632033235,-7.101734866638704e-05,250000
base,1,A00_copy,2987,0.011942649692937565,17922,0.011942649692937565,0.0114521109717608,atomic,copy,1.0,0.0,0.0114521109717608,0.0004905387211767646,250000
base,1,A01_reverse,7879,0.03150188715455476,47274,0.03150188715455476,0.0315479628573997,atomic,reverse,2.0,0.0249583463503928,0.0315479628573997,-4.607570284494156e-05,250000
base,1,A02_substitute,2335,0.009335817553735927,14010,0.009335817553735927,0.0095362756947815,atomic,substitute,1.5,0.0206098816944667,0.0095362756947815,-0.00020045814104557337,250000
base,1,A03_copy,2599,0.010391344677584442,15594,0.010391344677584442,0.0104088219420859,atomic,copy,1.0,0.0679819703578995,0.0104088219420859,-1.7477264501457312e-05,250000
base,1,A04_reverse,3046,0.012178544012282497,18276,0.012178544012282497,0.0127210958869839,atomic,reverse,2.0,0.1001411946438212,0.0127210958869839,-0.0005425518747014021,250000
