condition,seed,data_seen,task_i,task_j,linear_cka,checkpoint_fraction
baseline,0,100352,P03_parity_d3_25_33_36,P11_parity_d3_5_21_34,0.9914829730987549,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P12_parity_d3_9_27_30,0.9925622940063477,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P13_parity_d3_15_21_39,0.9954076409339905,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P14_parity_d3_3_23_24,0.9966903328895569,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P15_parity_d5_7_24_30_32_33,0.9921691417694092,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P16_parity_d5_3_18_23_29_37,0.9942753911018372,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P17_parity_d5_1_7_16_18_37,0.9925922751426697,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P18_parity_d5_0_17_30_32_34,0.9926624894142151,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P19_parity_d5_2_8_11_16_29,0.9939149022102356,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P20_parity_d3_4_7_35,0.9898247122764587,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P21_parity_d5_25_34_36_37_39,0.9960545301437378,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P22_parity_d5_5_14_30_35_36,0.9973097443580627,1.00352
baseline,0,100352,P03_parity_d3_25_33_36,P23_parity_d5_8_13_18_30_39,0.9947360754013062,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P00_parity_d3_1_15_16,0.996886134147644,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P01_parity_d3_0_21_26,0.9652737975120544,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P02_parity_d5_14_17_22_28_39,0.9963472485542297,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P03_parity_d3_25_33_36,0.9943845868110657,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P04_parity_d5_5_14_22_28_32,1.0,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P05_parity_d3_16_18_28,0.9964480996131897,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P06_parity_d3_14_20_35,0.9960702061653137,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P07_parity_d3_9_12_28,0.9959970712661743,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P08_parity_d5_12_14_28_35_38,0.9967380166053772,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P09_parity_d5_1_3_14_16_32,0.9956541657447815,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P10_parity_d3_2_3_33,0.9961620569229126,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P11_parity_d3_5_21_34,0.991366982460022,1.00352
baseline,0,100352,P04_parity_d5_5_14_22_28_32,P12_parity_d3_9_27_30,0.9958310723304749,1.00352
