condition,seed,task_name,kind,auc_balanced_accuracy
baseline,1,P11_parity_d2_22_26,atomic,0.9211051712833451
baseline,1,P12_parity_d2_12_28,atomic,0.9725932758268167
baseline,1,P13_parity_d2_13_19,atomic,0.5967273668239392
baseline,1,P14_parity_d2_13_15,atomic,0.7894509235353653
baseline,1,P15_parity_d3_8_10_28,atomic,0.5005421016902074
baseline,1,P16_parity_d3_3_14_33,atomic,0.49726415819208497
baseline,1,P17_parity_d3_9_12_31,atomic,0.49796277344805817
baseline,1,P18_parity_d3_2_13_26,atomic,0.5004767403356514
baseline,1,P19_parity_d3_17_32_35,atomic,0.5015491161801127
baseline,1,P20_parity_d2_8_30,atomic,0.5007605559777293
baseline,1,P21_parity_d3_15_21_39,atomic,0.4987219245881766
baseline,1,P22_parity_d3_3_23_24,atomic,0.49851976035770235
baseline,1,P23_parity_d3_26_34_35,atomic,0.4983656990757509
baseline,2,P00_parity_d2_16_39,atomic,0.5026825687582347
baseline,2,P01_parity_d2_0_4,atomic,0.49870257467009577
baseline,2,P02_parity_d3_20_25_39,atomic,0.49979340641117503
baseline,2,P03_parity_d2_15_29,atomic,0.5163239588840066
baseline,2,P04_parity_d3_31_37_39,atomic,0.4974044035812592
baseline,2,P05_parity_d2_26_37,atomic,0.8094385205419279
baseline,2,P06_parity_d2_26_28,atomic,0.7361179514500504
baseline,2,P07_parity_d2_5_34,atomic,0.5014089009732176
baseline,2,P08_parity_d3_21_27_32,atomic,0.4972976027261313
baseline,2,P09_parity_d3_16_18_28,atomic,0.503819777640566
baseline,2,P10_parity_d2_21_36,atomic,0.5021160081798375
baseline,2,P11_parity_d2_22_26,atomic,0.8816117338818874
baseline,2,P12_parity_d2_12_28,atomic,0.9635509451261316
baseline,2,P13_parity_d2_13_19,atomic,0.5150066708776541
baseline,2,P14_parity_d2_13_15,atomic,0.6583709970120425
baseline,2,P15_parity_d3_8_10_28,atomic,0.4965542862201319
baseline,2,P16_parity_d3_3_14_33,atomic,0.49898324538647687
baseline,2,P17_parity_d3_9_12_31,atomic,0.5046623993106353
baseline,2,P18_parity_d3_2_13_26,atomic,0.50220532259801
baseline,2,P19_parity_d3_17_32_35,atomic,0.4996618675767941
baseline,2,P20_parity_d2_8_30,atomic,0.5015570027791801
baseline,2,P21_parity_d3_15_21_39,atomic,0.500293845470789
baseline,2,P22_parity_d3_3_23_24,atomic,0.4997160832925199
baseline,2,P23_parity_d3_26_34_35,atomic,0.5009479059966078
baseline,3,P00_parity_d2_16_39,atomic,0.5059407861462407
baseline,3,P01_parity_d2_0_4,atomic,0.5038865070810526
baseline,3,P02_parity_d3_20_25_39,atomic,0.49883795407724973
baseline,3,P03_parity_d2_15_29,atomic,0.5840260489907291
baseline,3,P04_parity_d3_31_37_39,atomic,0.49970408101341873
baseline,3,P05_parity_d2_26_37,atomic,0.8516241004914312
baseline,3,P06_parity_d2_26_28,atomic,0.7927121587439511
baseline,3,P07_parity_d2_5_34,atomic,0.5038466643958849
baseline,3,P08_parity_d3_21_27_32,atomic,0.4977175708147026
baseline,3,P09_parity_d3_16_18_28,atomic,0.5007717350551645
baseline,3,P10_parity_d2_21_36,atomic,0.5041174927156453
baseline,3,P11_parity_d2_22_26,atomic,0.9299984710310788
baseline,3,P12_parity_d2_12_28,atomic,0.9671208442803968
baseline,3,P13_parity_d2_13_19,atomic,0.5175391667411074
baseline,3,P14_parity_d2_13_15,atomic,0.7252607666834968
baseline,3,P15_parity_d3_8_10_28,atomic,0.5005011218038135
baseline,3,P16_parity_d3_3_14_33,atomic,0.5019864523607156
baseline,3,P17_parity_d3_9_12_31,atomic,0.5023758872663308
baseline,3,P18_parity_d3_2_13_26,atomic,0.5004566554553559
baseline,3,P19_parity_d3_17_32_35,atomic,0.5004077505121286
baseline,3,P20_parity_d2_8_30,atomic,0.5074483013201452
baseline,3,P21_parity_d3_15_21_39,atomic,0.50026115439587
baseline,3,P22_parity_d3_3_23_24,atomic,0.4956958802547382
baseline,3,P23_parity_d3_26_34_35,atomic,0.49903363351598723
baseline,4,P00_parity_d2_16_39,atomic,0.5012700671341046
baseline,4,P01_parity_d2_0_4,atomic,0.5006937521384484
baseline,4,P02_parity_d3_20_25_39,atomic,0.5012066372434427
baseline,4,P03_parity_d2_15_29,atomic,0.5132118972934447
baseline,4,P04_parity_d3_31_37_39,atomic,0.49993685588008746
baseline,4,P05_parity_d2_26_37,atomic,0.8474624096048121
baseline,4,P06_parity_d2_26_28,atomic,0.696808437594324
baseline,4,P07_parity_d2_5_34,atomic,0.5032323046414451
baseline,4,P08_parity_d3_21_27_32,atomic,0.4967808576352163
baseline,4,P09_parity_d3_16_18_28,atomic,0.5007506104768016
baseline,4,P10_parity_d2_21_36,atomic,0.50072868477057
baseline,4,P11_parity_d2_22_26,atomic,0.9291565431963276
baseline,4,P12_parity_d2_12_28,atomic,0.9607737679682017
baseline,4,P13_parity_d2_13_19,atomic,0.5045495459758477
baseline,4,P14_parity_d2_13_15,atomic,0.597554150290772
baseline,4,P15_parity_d3_8_10_28,atomic,0.5029611644298607
baseline,4,P16_parity_d3_3_14_33,atomic,0.4959963996337459
baseline,4,P17_parity_d3_9_12_31,atomic,0.49513182149737445
baseline,4,P18_parity_d3_2_13_26,atomic,0.4964567887071132
baseline,4,P19_parity_d3_17_32_35,atomic,0.4969264849811385
baseline,4,P20_parity_d2_8_30,atomic,0.5018732764116338
baseline,4,P21_parity_d3_15_21_39,atomic,0.49858616912596554
baseline,4,P22_parity_d3_3_23_24,atomic,0.5000265983674568
baseline,4,P23_parity_d3_26_34_35,atomic,0.5012130021922417
