source_run_dir,source_model_name,model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,accuracy,all,24,0.2428385416666666,-0.0091145833333333,0.2451171875,-0.1202413516667916,-0.0002296745658058,-0.1289618995882057,0.2877992336861005,-0.0059728463949087,0.3150420210004486,0.2321604377224882,0.2038081294025045,0.1717887815756815,-0.0372486437256969,-0.0706985065585131,-0.0061166560573925,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,accuracy,atomic,12,0.25,-0.0052083333333333,0.2513020833333333,-0.3819974841829169,-0.0056694670951384,-0.491106312659842,0.3811258545363295,-0.0133242722834704,0.5054055625027248,0.1636363636363636,0.6197506830096351,-0.0179547392851635,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,accuracy,composite,10,0.2390625,-0.015625,0.24296875,-0.7169811320754718,-0.2946722942631175,-0.4396811657723105,0.7680288520687637,0.253125,0.4907781433352648,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,accuracy,true_atomic_composite,22,0.2450284090909091,-0.0099431818181818,0.2475142045454545,-0.1501777637256947,-0.0049954094438963,-0.1607042490146633,0.2061513478211387,-0.0100021979562733,0.2220017110140245,0.1704477140128594,0.2292786199293394,0.0852765334398314,-0.1173521111734685,-0.0671634990263169,-0.0937395610876944,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_margin,all,24,-1.6106718340112518,-1.151216299816345,-0.954773849361421,-0.0741714814817295,-0.1815019782141146,-0.2068075424843517,0.0624049678394735,0.1300467161969448,0.3582830671063479,0.1369755136715694,0.0246928647095006,0.1146121645007009,-0.2930244939203326,-0.2319777243535966,0.0366280617400415,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_margin,atomic,12,-1.583398090985914,-1.1529864454641938,-0.9458246579160914,-0.6466794458573009,-0.6608145157121053,-0.5371326544825669,0.5801630249353875,0.5908408720200878,0.5054180953424848,-0.0356574791160334,-0.0713149582320669,-0.0178287395580167,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_margin,composite,10,-1.693314748443663,-1.225268275476992,-0.9474258487578482,-0.7346938883551641,-0.956954224328155,-0.567998636375421,0.7139306476801298,0.947804480540862,0.5785300076028639,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_margin,true_atomic_composite,22,-1.6333602080121636,-1.1858418227427383,-0.9465524719350716,-0.1178477064304646,-0.2192647230220664,-0.23002965774408,0.150313515789285,0.2541149248060366,0.2739676533065082,0.2332364608239091,0.152912679672818,0.0481942686906546,-0.2302217852275816,-0.1582774773439624,-0.0431665847301715,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_mrr,all,24,0.5192057291666666,-0.0028754340277777,0.5209825303819445,-0.2044968078996393,-0.1239100043577128,-0.135253877996095,0.3597487087354116,0.0418942441439822,0.3425727255523547,0.1319079432393412,0.0037272248618114,0.1705205374278721,0.0183219986889185,0.0244187078266943,0.0366280617400415,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_mrr,atomic,12,0.5228949652777778,-0.0034722222222222,0.5245496961805556,-0.5203743591725197,-0.0424052095644131,-0.4558560028174416,0.5348281873006977,-0.0427113883388015,0.4982995306193512,0.0446499766480683,0.3030885724862844,0.0534862186740502,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_mrr,composite,10,0.51796875,-0.0041666666666666,0.5209635416666667,-0.567998636375421,-0.3951294861742059,-0.3889555879527339,0.5908391567007971,0.3508107492910983,0.4492839420745644,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_correct_mrr,true_atomic_composite,22,0.5206557765151515,-0.0037878787878787,0.5229196259469697,-0.2315768939886766,-0.1410773024095465,-0.1643068983886285,0.2877434738871595,0.1055030714596491,0.2353966379341633,0.0696532846923778,0.0487892596621442,0.0773488262936433,-0.0503894761116605,0.0575554463068954,-0.0719443078836192,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_correct,all,24,-4.0977885647056,7.23735005237783,-6.247399653346899,-0.4947674117663604,-0.4581179738577413,-0.501748257082288,0.2858409366073787,0.2439466924633965,0.3054788635498704,-0.4766188792041345,-0.4426079523401053,-0.476152976096408,0.1831403087002079,0.1587216008735135,0.2075590165269022,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_correct,atomic,12,-4.240788535680622,7.074025110496829,-6.316144468068766,-0.4805923750633492,-0.4487884678900394,-0.5654027941921757,0.2918611536484771,0.2740647418406431,0.3737246479645134,-0.3030885724862844,-0.2852598329282677,-0.2852598329282677,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_correct,composite,10,-4.055888266116381,7.273187113553286,-6.2364874958992,-0.6482593132545565,-0.75321558301958,-0.4568684683889255,0.6339211785435636,0.7200852222290964,0.4492839420745644,,,,,,,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_correct,true_atomic_composite,22,-4.156742958605967,7.1645532937043095,-6.279936753446236,-0.5682752382199809,-0.5263486503552963,-0.5779070219186246,0.5303514613697414,0.4895115627401999,0.5416958776557254,-0.4075688154703515,-0.3665144384375715,-0.4158986890712053,0.3597215394180963,0.3309438162646487,0.3884992625715441,,,
results/pythia_arithmetic_model_sweep_v34/pythia-160m_n64,EleutherAI/pythia-160m,EleutherAI/pythia-160m,mean_logprob_margin,all,24,1.94985254551284,1.772382920064653,1.0161557169049047,0.2971222287591636,0.3219914901971553,0.4576816710254958,-0.1095359925014535,-0.148375448009937,-0.4342163846173158,0.3196095319003287,0.3349843344553008,0.4272331497851332,-0.1098841852201247,-0.0610467695667359,-0.6104676956673596,,,
