model,mean_mse,se_mse,complexity,features,selected_by_parsimony,best_mean_mse,selection_threshold,true_mechanism,replicate
freq_learn,0.061694879659954426,0.024836657183729006,2,"log_frequency,reference_learnability",True,0.049718142714005154,0.06713847413081993,three_factor,0
frequency_only,0.4640143113091807,0.1145390550715109,1,log_frequency,False,0.049718142714005154,0.06713847413081993,three_factor,0
learnability_only,0.5038541646771898,0.040578247507062154,1,reference_learnability,False,0.049718142714005154,0.06713847413081993,three_factor,0
three_factor,0.07219795242867681,0.024121468825748043,3,"log_frequency,reference_learnability,formal_utility",True,0.07219795242867681,0.09631942125442486,three_factor,1
freq_learn,0.10092390834362845,0.026512484271248474,2,"log_frequency,reference_learnability",False,0.07219795242867681,0.09631942125442486,three_factor,1
frequency_only,0.34760231072455977,0.14056178612881892,1,log_frequency,False,0.07219795242867681,0.09631942125442486,three_factor,1
learnability_only,0.5132719785272244,0.09829285922530588,1,reference_learnability,False,0.07219795242867681,0.09631942125442486,three_factor,1
three_factor,0.06257370075087054,0.006582078462054607,3,"log_frequency,reference_learnability,formal_utility",True,0.06257370075087054,0.06915577921292515,three_factor,2
freq_learn,0.08891594946195838,0.02126888738872415,2,"log_frequency,reference_learnability",False,0.06257370075087054,0.06915577921292515,three_factor,2
frequency_only,0.3570658919869797,0.13623068282624812,1,log_frequency,False,0.06257370075087054,0.06915577921292515,three_factor,2
learnability_only,0.5926887555006777,0.14138455710749423,1,reference_learnability,False,0.06257370075087054,0.06915577921292515,three_factor,2
three_factor,0.032566192817151625,0.007377031852675294,3,"log_frequency,reference_learnability,formal_utility",True,0.032566192817151625,0.039943224669826916,three_factor,3
freq_learn,0.0664591086109549,0.020571392713664968,2,"log_frequency,reference_learnability",False,0.032566192817151625,0.039943224669826916,three_factor,3
frequency_only,0.34476384050938946,0.06796962949286883,1,log_frequency,False,0.032566192817151625,0.039943224669826916,three_factor,3
learnability_only,0.5658804432166129,0.06188601168756826,1,reference_learnability,False,0.032566192817151625,0.039943224669826916,three_factor,3
three_factor,0.0638239028603246,0.013813948432685434,3,"log_frequency,reference_learnability,formal_utility",True,0.0638239028603246,0.07763785129301004,three_factor,4
freq_learn,0.09061702959071284,0.019741286214505285,2,"log_frequency,reference_learnability",False,0.0638239028603246,0.07763785129301004,three_factor,4
frequency_only,0.43654863795267096,0.06645257859576671,1,log_frequency,False,0.0638239028603246,0.07763785129301004,three_factor,4
learnability_only,0.614624585753206,0.11258080373759027,1,reference_learnability,False,0.0638239028603246,0.07763785129301004,three_factor,4
three_factor,0.05525919265699499,0.01004782668562269,3,"log_frequency,reference_learnability,formal_utility",True,0.05525919265699499,0.06530701934261768,three_factor,5
freq_learn,0.06909697636546434,0.015322460306242422,2,"log_frequency,reference_learnability",False,0.05525919265699499,0.06530701934261768,three_factor,5
frequency_only,0.3532054690677418,0.09844290715235372,1,log_frequency,False,0.05525919265699499,0.06530701934261768,three_factor,5
learnability_only,0.5991034025657296,0.15527490063285773,1,reference_learnability,False,0.05525919265699499,0.06530701934261768,three_factor,5
three_factor,0.04344262133895706,0.012646225076899924,3,"log_frequency,reference_learnability,formal_utility",False,0.04344262133895706,0.056088846415856985,three_factor,6
freq_learn,0.04743380172531456,0.012995345720049695,2,"log_frequency,reference_learnability",True,0.04344262133895706,0.056088846415856985,three_factor,6
frequency_only,0.3483886499143153,0.09168293735046,1,log_frequency,False,0.04344262133895706,0.056088846415856985,three_factor,6
learnability_only,0.5217927479707202,0.10451869073877434,1,reference_learnability,False,0.04344262133895706,0.056088846415856985,three_factor,6
three_factor,0.025452503056646286,0.00821107616757337,3,"log_frequency,reference_learnability,formal_utility",True,0.025452503056646286,0.033663579224219656,three_factor,7
freq_learn,0.07573744374161513,0.01492727741413718,2,"log_frequency,reference_learnability",False,0.025452503056646286,0.033663579224219656,three_factor,7
frequency_only,0.3787703479612886,0.06506406280166091,1,log_frequency,False,0.025452503056646286,0.033663579224219656,three_factor,7
learnability_only,0.6454425037208583,0.12239580914501794,1,reference_learnability,False,0.025452503056646286,0.033663579224219656,three_factor,7
three_factor,0.041158407525651794,0.009228223270823836,3,"log_frequency,reference_learnability,formal_utility",True,0.041158407525651794,0.05038663079647563,three_factor,8
freq_learn,0.06908691412969893,0.018123853007189616,2,"log_frequency,reference_learnability",False,0.041158407525651794,0.05038663079647563,three_factor,8
frequency_only,0.4135177233414932,0.15536304930489125,1,log_frequency,False,0.041158407525651794,0.05038663079647563,three_factor,8
learnability_only,0.7444613223245264,0.154976934245597,1,reference_learnability,False,0.041158407525651794,0.05038663079647563,three_factor,8
three_factor,0.056584916881736134,0.02437362063036477,3,"log_frequency,reference_learnability,formal_utility",False,0.056584916881736134,0.0809585375121009,three_factor,9
freq_learn,0.06652574399566108,0.017679051311594314,2,"log_frequency,reference_learnability",True,0.056584916881736134,0.0809585375121009,three_factor,9
frequency_only,0.34551063132905346,0.1119105861821942,1,log_frequency,False,0.056584916881736134,0.0809585375121009,three_factor,9
learnability_only,0.5338174323653821,0.10179773513382119,1,reference_learnability,False,0.056584916881736134,0.0809585375121009,three_factor,9
three_factor,0.9376365551443963,0.20410985456198946,3,"log_frequency,reference_learnability,formal_utility",True,0.9376365551443963,1.1417464097063856,dependency_gated,0
frequency_only,1.3685790962953042,0.2369698694365098,1,log_frequency,False,0.9376365551443963,1.1417464097063856,dependency_gated,0
freq_learn,1.4942928835391496,0.319923530639325,2,"log_frequency,reference_learnability",False,0.9376365551443963,1.1417464097063856,dependency_gated,0
learnability_only,1.586110041358276,0.35974579246112737,1,reference_learnability,False,0.9376365551443963,1.1417464097063856,dependency_gated,0
three_factor,1.23788273405104,0.4015791929927295,3,"log_frequency,reference_learnability,formal_utility",False,1.23788273405104,1.6394619270437696,dependency_gated,1
frequency_only,1.6163448340444664,0.5307724636357832,1,log_frequency,True,1.23788273405104,1.6394619270437696,dependency_gated,1
freq_learn,2.355319977128573,0.9622168417108862,2,"log_frequency,reference_learnability",False,1.23788273405104,1.6394619270437696,dependency_gated,1
learnability_only,2.3700868572191407,0.9020565023965551,1,reference_learnability,False,1.23788273405104,1.6394619270437696,dependency_gated,1
three_factor,1.2951328630068164,0.49968124197714553,3,"log_frequency,reference_learnability,formal_utility",False,1.2951328630068164,1.7948141049839619,dependency_gated,2
frequency_only,1.6262326609342235,0.29170301705649315,1,log_frequency,True,1.2951328630068164,1.7948141049839619,dependency_gated,2
freq_learn,1.7240407615487072,0.2834784535216393,2,"log_frequency,reference_learnability",False,1.2951328630068164,1.7948141049839619,dependency_gated,2
learnability_only,1.7734236109319874,0.3623115763915892,1,reference_learnability,False,1.2951328630068164,1.7948141049839619,dependency_gated,2
three_factor,0.8988372626763823,0.1159425845874674,3,"log_frequency,reference_learnability,formal_utility",True,0.8988372626763823,1.0147798472638496,dependency_gated,3
frequency_only,1.4879483076677755,0.5213762524188497,1,log_frequency,False,0.8988372626763823,1.0147798472638496,dependency_gated,3
freq_learn,1.717962236957615,0.43786318234799093,2,"log_frequency,reference_learnability",False,0.8988372626763823,1.0147798472638496,dependency_gated,3
learnability_only,1.9223882661388025,0.47661597721513005,1,reference_learnability,False,0.8988372626763823,1.0147798472638496,dependency_gated,3
three_factor,1.374403644222694,0.3715986081275916,3,"log_frequency,reference_learnability,formal_utility",True,1.374403644222694,1.7460022523502854,dependency_gated,4
learnability_only,2.071837631046911,0.404284348915247,1,reference_learnability,False,1.374403644222694,1.7460022523502854,dependency_gated,4
frequency_only,2.1648086506133923,0.39946737733157267,1,log_frequency,False,1.374403644222694,1.7460022523502854,dependency_gated,4
freq_learn,2.2971255468239016,0.4142213524276606,2,"log_frequency,reference_learnability",False,1.374403644222694,1.7460022523502854,dependency_gated,4
three_factor,1.0441147896569294,0.43719766405038035,3,"log_frequency,reference_learnability,formal_utility",True,1.0441147896569294,1.4813124537073097,dependency_gated,5
frequency_only,1.7272824195178351,0.22334061239907432,1,log_frequency,False,1.0441147896569294,1.4813124537073097,dependency_gated,5
freq_learn,1.7931909976205773,0.3138030533824383,2,"log_frequency,reference_learnability",False,1.0441147896569294,1.4813124537073097,dependency_gated,5
learnability_only,2.0103380735418317,0.26617615185181887,1,reference_learnability,False,1.0441147896569294,1.4813124537073097,dependency_gated,5
three_factor,1.0103981169538785,0.15643461842214004,3,"log_frequency,reference_learnability,formal_utility",True,1.0103981169538785,1.1668327353760186,dependency_gated,6
frequency_only,1.6776454076321083,0.39137903042024386,1,log_frequency,False,1.0103981169538785,1.1668327353760186,dependency_gated,6
freq_learn,1.957353791187467,0.3658418773945653,2,"log_frequency,reference_learnability",False,1.0103981169538785,1.1668327353760186,dependency_gated,6
learnability_only,2.112034181451633,0.3183215602026204,1,reference_learnability,False,1.0103981169538785,1.1668327353760186,dependency_gated,6
three_factor,1.084507267678461,0.19951929943393407,3,"log_frequency,reference_learnability,formal_utility",True,1.084507267678461,1.2840265671123952,dependency_gated,7
frequency_only,1.5110931091067066,0.5065987962567211,1,log_frequency,False,1.084507267678461,1.2840265671123952,dependency_gated,7
freq_learn,1.8586171465628183,0.6277086427016885,2,"log_frequency,reference_learnability",False,1.084507267678461,1.2840265671123952,dependency_gated,7
learnability_only,1.883391454254859,0.6563363896959917,1,reference_learnability,False,1.084507267678461,1.2840265671123952,dependency_gated,7
three_factor,0.9230000949245397,0.22399059194955442,3,"log_frequency,reference_learnability,formal_utility",True,0.9230000949245397,1.1469906868740942,dependency_gated,8
frequency_only,1.7294306594036968,0.28894687462502877,1,log_frequency,False,0.9230000949245397,1.1469906868740942,dependency_gated,8
freq_learn,1.7723786734107463,0.2960464209563886,2,"log_frequency,reference_learnability",False,0.9230000949245397,1.1469906868740942,dependency_gated,8
learnability_only,1.7996542558419442,0.27156637236112285,1,reference_learnability,False,0.9230000949245397,1.1469906868740942,dependency_gated,8
three_factor,1.2625025014531466,0.3717040270268869,3,"log_frequency,reference_learnability,formal_utility",True,1.2625025014531466,1.6342065284800333,dependency_gated,9
frequency_only,2.489842164752596,0.6477471479945653,1,log_frequency,False,1.2625025014531466,1.6342065284800333,dependency_gated,9
learnability_only,2.5581205008440966,0.6794935578464507,1,reference_learnability,False,1.2625025014531466,1.6342065284800333,dependency_gated,9
freq_learn,2.7979227613650215,0.7336232786681298,2,"log_frequency,reference_learnability",False,1.2625025014531466,1.6342065284800333,dependency_gated,9
