condition,seed,task_name,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,metric_family,analysis_threshold,copy_fraction,structure_id,kind,op,operation_type,components,frequency,reference_learnability,formal_utility,composition_depth,control_type,output_entropy,random_baseline_token_accuracy,target_length,max_data_seen,censored_acquired_at,is_censored,log_acquired_at,log_frequency
base,1,S01_surface_rotate,203008.0,0.7,2,token_accuracy,0.7506510615348816,0.001953125,0.001953125,token_accuracy,0.7,0.03369140625,S01_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.0315479628573997,2.0,0.0,1,surface_overlap_no_dependency,4.99004999677094,0.0382486979166666,6,250112,203008.0,False,12.221005592016528,-3.456246260783218
base,1,S02_surface_rotate,,0.7,2,token_accuracy,0.4430338740348816,0.0,0.0,token_accuracy,0.7,0.0302734375,S02_surface_rotate,surface_control,surface_rotate,surface_rotate,,0.015236661713767,2.0,0.0,1,surface_overlap_no_dependency,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.184050800371162
base,1,U00_unrelated_substitute,,0.7,2,token_accuracy,0.3076171875,0.0,0.0,token_accuracy,0.7,0.0,U00_unrelated_substitute,unrelated,substitute,substitute,,0.0225815364361807,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.790622678457683
base,1,U01_unrelated_substitute,189184.0,0.7,2,token_accuracy,0.751953125,0.0,0.0,token_accuracy,0.7,0.0,U01_unrelated_substitute,unrelated,substitute,substitute,,0.0249583463503928,1.5,0.0,1,unrelated_matched,4.99004999677094,0.0382486979166666,6,250112,189184.0,False,12.150480651273064,-3.690546989663138
base,1,U02_unrelated_substitute,,0.7,2,token_accuracy,0.3128255307674408,0.0,0.0,token_accuracy,0.7,0.0,U02_unrelated_substitute,unrelated,substitute,substitute,,0.0127210958869839,1.5,0.0,1,unrelated_matched,4.990049996770939,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.36449357014416
base,2,A00_copy,14336.0,0.7,2,token_accuracy,0.98046875,0.884765625,0.884765625,token_accuracy,0.7,1.0,A00_copy,atomic,copy,copy,,0.0109061632033235,1.0,0.0530821971476897,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-4.518427218045626
base,2,A01_reverse,61952.0,0.7,2,token_accuracy,0.8111979365348816,0.087890625,0.087890625,token_accuracy,0.7,0.0283203125,A01_reverse,atomic,reverse,reverse,,0.0120540867248666,2.0,0.0752749154615973,1,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-4.418351529251082
base,2,A02_substitute,,0.7,2,token_accuracy,0.6481119990348816,0.001953125,0.001953125,token_accuracy,0.7,0.0,A02_substitute,atomic,substitute,substitute,,0.018948519685711,1.5,0.0426733752056038,1,,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-3.9660294673540055
base,2,A03_copy,14336.0,0.7,2,token_accuracy,0.9710286855697632,0.828125,0.828125,token_accuracy,0.7,1.0,A03_copy,atomic,copy,copy,,0.280037251940008,1.0,0.1162344687252579,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-1.2728326420193892
base,2,A04_reverse,61952.0,0.7,2,token_accuracy,0.8128255605697632,0.08203125,0.08203125,token_accuracy,0.7,0.0283203125,A04_reverse,atomic,reverse,reverse,,0.0134641728018988,2.0,0.1679114697925501,1,,4.990049996770939,0.0382486979166666,6,250112,61952.0,False,11.034131312034901,-4.307722987810365
base,2,A05_substitute,,0.7,2,token_accuracy,0.6468099355697632,0.0,0.0,token_accuracy,0.7,0.0,A05_substitute,atomic,substitute,substitute,,0.0095362756947815,1.5,0.0,1,,4.99004999677094,0.0382486979166666,6,250112,250112.0,True,12.429668094723155,-4.65265225813101
base,2,A06_copy,14336.0,0.7,2,token_accuracy,0.9736328125,0.849609375,0.849609375,token_accuracy,0.7,1.0,A06_copy,atomic,copy,copy,,0.1352490775505667,1.0,0.1284501107688861,1,,4.990049996770939,0.0382486979166666,6,250112,14336.0,False,9.570598887246268,-2.000637181607332
