condition,task_name,n,acquisition_rate,mean_residual_log_time,median_residual_log_time,mean_residual_time,positive_residual_rate,mean_observed_time,mean_predicted_time
batch_small,C00_reverse_then_substitute_06_04,10,1.0,0.5607281672864985,0.5334619748070715,18199.956265957248,1.0,42150.4,23950.44373404275
batch_small,C01_substitute_then_reverse_03_04,10,1.0,0.23166341500730264,0.19761511268457355,8947.54228759915,1.0,42457.6,33510.05771240085
batch_small,C02_copy_then_substitute_00_07,10,1.0,-0.3115582903315472,-0.33848911145381955,-15168.613418141893,0.0,42112.0,57280.61341814189
batch_small,C03_reverse_then_substitute_06_01,10,1.0,0.6951981846219979,0.66096071880159,21323.075299187592,1.0,42406.4,21083.32470081241
batch_small,C04_substitute_then_reverse_07_01,10,1.0,-1.7365165555954067,-1.7584754828100593,-48348.23472471761,0.0,10342.4,58690.63472471761
batch_small,C05_copy_then_substitute_06_07,10,1.0,-0.25246176966583694,-0.28651007198856604,-11921.628983910507,0.0,42457.6,54379.22898391051
batch_small,C06_reverse_then_substitute_02_00,10,0.8,1.8579469085236915,1.857918373074516,150111.04084777486,1.0,176691.2,26580.159152225162
batch_small,C07_substitute_then_reverse_04_03,10,1.0,0.8663547641343543,0.8253351884706444,24826.147560701873,1.0,42713.6,17887.452439298126
lr_high,C00_reverse_then_substitute_06_04,10,1.0,0.5908491906623402,0.6252479513860756,18993.869754962718,1.0,42419.2,23425.330245037283
lr_high,C01_substitute_then_reverse_03_04,10,1.0,0.2661819818029697,0.3005807425267051,10008.229229736393,1.0,42419.2,32410.9707702636
lr_high,C02_copy_then_substitute_00_07,10,1.0,-0.25207643219181664,-0.21767767146808126,-12002.766156916256,0.0,42419.2,54421.96615691625
lr_high,C03_reverse_then_substitute_06_01,10,1.0,0.7345239678096227,0.7485025236758656,22555.220224349352,1.0,43264.0,20708.779775650648
lr_high,C04_substitute_then_reverse_07_01,10,1.0,-1.6794322338295953,-1.6938950036285885,-45322.89966624968,0.0,10393.6,55716.499666249685
lr_high,C05_copy_then_substitute_06_07,10,1.0,-0.19517885126724366,-0.1674289076245774,-9054.05019129981,0.0,42700.8,51754.85019129981
lr_high,C06_reverse_then_substitute_02_00,10,1.0,1.7373362280766387,1.7444015466258698,127385.40798607943,1.0,153292.8,25907.392013920584
lr_high,C07_substitute_then_reverse_04_03,10,1.0,0.8867779314123462,0.9074053043596582,25316.315757956414,1.0,42982.4,17666.084242043587
lr_low,C00_reverse_then_substitute_06_04,10,1.0,-2.03250733857582,-2.026203199460248,-713287.3884121008,0.0,108108.8,821396.1884121008
lr_low,C01_substitute_then_reverse_03_04,10,1.0,-2.046622720426588,-2.026203199460248,-714618.5884121008,0.0,106777.6,821396.1884121008
lr_low,C02_copy_then_substitute_00_07,10,1.0,-2.046622720426588,-2.026203199460248,-714618.5884121008,0.0,106777.6,821396.1884121008
lr_low,C03_reverse_then_substitute_06_01,10,1.0,-2.046622720426588,-2.026203199460248,-714618.5884121008,0.0,106777.6,821396.1884121008
lr_low,C04_substitute_then_reverse_07_01,10,1.0,-3.673322626577658,-3.6915091514906297,-800532.1884121008,0.0,20864.0,821396.1884121008
lr_low,C05_copy_then_substitute_06_07,10,1.0,-2.0466041828946984,-2.026203199460248,-714823.3884121008,0.0,106572.8,821396.1884121008
lr_low,C06_reverse_then_substitute_02_00,10,0.0,-1.189093962853864,-1.189093962853864,-571284.1884121008,0.0,250112.0,821396.1884121008
lr_low,C07_substitute_then_reverse_04_03,10,1.0,-2.039542510309553,-2.026203199460248,-713927.3884121008,0.0,107468.8,821396.1884121008
wd_zero,C00_reverse_then_substitute_06_04,10,1.0,0.6425895345395034,0.6273599820594757,29970.915932169737,1.0,63052.8,33081.884067830266
wd_zero,C01_substitute_then_reverse_03_04,10,1.0,0.2952210453237399,0.2868316512577511,16139.91858503063,1.0,62643.2,46503.28141496937
wd_zero,C02_copy_then_substitute_00_07,10,1.0,-0.21412487679895964,-0.25674548812017584,-15165.03888848764,0.1,64921.6,80086.63888848762
wd_zero,C03_reverse_then_substitute_06_01,10,1.0,0.8064308587918332,0.7925073624249332,36312.430506603094,1.0,65382.4,29069.969493396908
wd_zero,C04_substitute_then_reverse_07_01,10,1.0,-1.7614511489717928,-1.7449344002416982,-67980.26439802379,0.0,14105.6,82085.86439802378
wd_zero,C05_copy_then_substitute_06_07,10,1.0,-0.1747979078274394,-0.16817050376718967,-12051.832637184325,0.0,63923.2,75975.03263718434
wd_zero,C06_reverse_then_substitute_02_00,10,0.5,1.7429717935259723,1.8129393413298356,176966.87342730587,1.0,213734.4,36767.52657269417
wd_zero,C07_substitute_then_reverse_04_03,10,1.0,0.9453714136129403,0.9233017027188737,38855.33264754957,1.0,63462.4,24607.067352450424
