condition,seed,task_name,auc_token_accuracy
baseline,6,U01_unrelated_substitute,0.021313785343214535
baseline,6,U02_unrelated_substitute,0.25479652350835175
baseline,7,A00_copy,0.5543241810926761
baseline,7,A01_reverse,0.9464446827025746
baseline,7,A02_substitute,0.033924969354551
baseline,7,A03_copy,0.5563670976493534
baseline,7,A04_reverse,0.946170802641862
baseline,7,A05_substitute,0.03546761196514661
baseline,7,A06_copy,0.5556514189467063
baseline,7,A07_reverse,0.9463442281487197
baseline,7,C00_reverse_then_substitute_02_05,0.03465797418886709
baseline,7,C01_substitute_then_reverse_01_03,0.9463425565143034
baseline,7,C02_copy_then_substitute_04_07,0.5557855175266627
baseline,7,C03_reverse_then_substitute_06_01,0.9459675573395945
baseline,7,C04_substitute_then_reverse_03_07,0.9462352706683741
baseline,7,C05_copy_then_substitute_07_06,0.9459815522476634
baseline,7,C06_reverse_then_substitute_01_05,0.12865503165546086
baseline,7,C07_substitute_then_reverse_07_03,0.9460116992404297
baseline,7,K00_shortcut_for_A07_reverse,0.5544864433353334
baseline,7,K01_shortcut_for_A03_copy,0.5555521331588331
baseline,7,K02_shortcut_for_A00_copy,0.5543431730315608
baseline,7,S00_surface_rotate,0.22020552277911984
baseline,7,S01_surface_rotate,0.22482661828360576
baseline,7,S02_surface_rotate,0.22188643532535376
baseline,7,U00_unrelated_substitute,0.11472610654662094
baseline,7,U01_unrelated_substitute,0.029415489399391946
baseline,7,U02_unrelated_substitute,0.11521372083715614
baseline,8,A00_copy,0.5551468117673526
baseline,8,A01_reverse,0.9471182108779524
baseline,8,A02_substitute,0.02460731009446548
baseline,8,A03_copy,0.5545309181253644
baseline,8,A04_reverse,0.9469044716531142
baseline,8,A05_substitute,0.01758878737137086
baseline,8,A06_copy,0.5555326357091126
baseline,8,A07_reverse,0.9469516239526511
baseline,8,C00_reverse_then_substitute_02_05,0.02729893747923043
baseline,8,C01_substitute_then_reverse_01_03,0.9471310339124536
baseline,8,C02_copy_then_substitute_04_07,0.5543340026804207
baseline,8,C03_reverse_then_substitute_06_01,0.946680231723351
baseline,8,C04_substitute_then_reverse_03_07,0.9464778282080025
baseline,8,C05_copy_then_substitute_07_06,0.9476529672139438
baseline,8,C06_reverse_then_substitute_01_05,0.08701235467854372
baseline,8,C07_substitute_then_reverse_07_03,0.9468261699307569
baseline,8,K00_shortcut_for_A07_reverse,0.5543218406618877
baseline,8,K01_shortcut_for_A03_copy,0.5563582683996342
baseline,8,K02_shortcut_for_A00_copy,0.5563854187805141
baseline,8,S00_surface_rotate,0.2615240111045288
baseline,8,S01_surface_rotate,0.2632345777146038
baseline,8,S02_surface_rotate,0.1934918221858394
baseline,8,U00_unrelated_substitute,0.16483399399604834
baseline,8,U01_unrelated_substitute,0.022200055131088154
baseline,8,U02_unrelated_substitute,0.16275192515022802
baseline,9,A00_copy,0.546684932047568
baseline,9,A01_reverse,0.9460498541383837
baseline,9,A02_substitute,0.03764580254907221
baseline,9,A03_copy,0.5466911020872689
baseline,9,A04_reverse,0.9461584777839124
baseline,9,A05_substitute,0.036444840512353784
baseline,9,A06_copy,0.5470249463957539
baseline,9,A07_reverse,0.9467085568184755
baseline,9,C00_reverse_then_substitute_02_05,0.032249553411238134
baseline,9,C01_substitute_then_reverse_01_03,0.9460623503272768
baseline,9,C02_copy_then_substitute_04_07,0.5461298588438374
baseline,9,C03_reverse_then_substitute_06_01,0.9456275442763858
baseline,9,C04_substitute_then_reverse_03_07,0.945779643634462
baseline,9,C05_copy_then_substitute_07_06,0.9459630599561907
baseline,9,C06_reverse_then_substitute_01_05,0.1286518672781333
baseline,9,C07_substitute_then_reverse_07_03,0.9464876565933532
baseline,9,K00_shortcut_for_A07_reverse,0.5490763565237532
baseline,9,K01_shortcut_for_A03_copy,0.5465739844929324
baseline,9,K02_shortcut_for_A00_copy,0.5466822649713533
baseline,9,S00_surface_rotate,0.25206175280931264
baseline,9,S01_surface_rotate,0.2512674426884908
baseline,9,S02_surface_rotate,0.24124226193139167
baseline,9,U00_unrelated_substitute,0.10160898322290994
baseline,9,U01_unrelated_substitute,0.03130047824691328
baseline,9,U02_unrelated_substitute,0.10234448589487506
corrupt_component_strong,0,A00_copy,0.5760026323773966
corrupt_component_strong,0,A01_reverse,0.9375361731340737
corrupt_component_strong,0,A02_substitute,0.02060243742399396
corrupt_component_strong,0,A03_copy,0.5740724969693405
corrupt_component_strong,0,A04_reverse,0.9380849220531638
corrupt_component_strong,0,A05_substitute,0.016092457769471012
corrupt_component_strong,0,A06_copy,0.574790506668488
corrupt_component_strong,0,A07_reverse,0.9378790117889841
corrupt_component_strong,0,C00_reverse_then_substitute_02_05,0.020610267114839834
corrupt_component_strong,0,C01_substitute_then_reverse_01_03,0.9380794218879578
corrupt_component_strong,0,C02_copy_then_substitute_04_07,0.5759070127622864
corrupt_component_strong,0,C03_reverse_then_substitute_06_01,0.9384202732806577
corrupt_component_strong,0,C04_substitute_then_reverse_03_07,0.9376148080573385
corrupt_component_strong,0,C05_copy_then_substitute_07_06,0.937682440239429
corrupt_component_strong,0,C06_reverse_then_substitute_01_05,0.0526184277618255
corrupt_component_strong,0,C07_substitute_then_reverse_07_03,0.9386959824121978
corrupt_component_strong,0,K00_shortcut_for_A07_reverse,0.5769442079727944
corrupt_component_strong,0,K01_shortcut_for_A03_copy,0.5769933571022846
corrupt_component_strong,0,K02_shortcut_for_A00_copy,0.5760725989619397
corrupt_component_strong,0,S00_surface_rotate,0.2618968450286051
corrupt_component_strong,0,S01_surface_rotate,0.26299518687572393
corrupt_component_strong,0,S02_surface_rotate,0.1737684896244394
corrupt_component_strong,0,U00_unrelated_substitute,0.14204536821643612
corrupt_component_strong,0,U01_unrelated_substitute,0.01683862349580868
corrupt_component_strong,0,U02_unrelated_substitute,0.1430374240691458
corrupt_component_strong,1,A00_copy,0.5840906769975241
corrupt_component_strong,1,A01_reverse,0.9349340040764811
corrupt_component_strong,1,A02_substitute,0.023884966785036692
corrupt_component_strong,1,A03_copy,0.5861969026369915
corrupt_component_strong,1,A04_reverse,0.9350977568832839
corrupt_component_strong,1,A05_substitute,0.018781253263714603
corrupt_component_strong,1,A06_copy,0.5847963623220183
corrupt_component_strong,1,A07_reverse,0.9344672117870351
corrupt_component_strong,1,C00_reverse_then_substitute_02_05,0.02297187588123285
corrupt_component_strong,1,C01_substitute_then_reverse_01_03,0.935396124136004
corrupt_component_strong,1,C02_copy_then_substitute_04_07,0.5857379405636306
corrupt_component_strong,1,C03_reverse_then_substitute_06_01,0.9342021653142699
corrupt_component_strong,1,C04_substitute_then_reverse_03_07,0.934493198760136
corrupt_component_strong,1,C05_copy_then_substitute_07_06,0.9346466325490355
corrupt_component_strong,1,C06_reverse_then_substitute_01_05,0.06746561090287526
corrupt_component_strong,1,C07_substitute_then_reverse_07_03,0.9343162750874855
corrupt_component_strong,1,K00_shortcut_for_A07_reverse,0.5841464859537376
corrupt_component_strong,1,K01_shortcut_for_A03_copy,0.5854830530547406
corrupt_component_strong,1,K02_shortcut_for_A00_copy,0.5852713198796632
corrupt_component_strong,1,S00_surface_rotate,0.28210995556117474
corrupt_component_strong,1,S01_surface_rotate,0.28127599520057806
corrupt_component_strong,1,S02_surface_rotate,0.21513462513532708
corrupt_component_strong,1,U00_unrelated_substitute,0.15426023027162805
corrupt_component_strong,1,U01_unrelated_substitute,0.01975664971043624
corrupt_component_strong,1,U02_unrelated_substitute,0.15376028408627182
corrupt_component_strong,2,A00_copy,0.6204460538578664
corrupt_component_strong,2,A01_reverse,0.933577115243318
corrupt_component_strong,2,A02_substitute,0.024457876865076177
corrupt_component_strong,2,A03_copy,0.6204710440927528
corrupt_component_strong,2,A04_reverse,0.9334210078055639
corrupt_component_strong,2,A05_substitute,0.026164945344628415
corrupt_component_strong,2,A06_copy,0.6202711343913966
corrupt_component_strong,2,A07_reverse,0.9341072025332322
corrupt_component_strong,2,C00_reverse_then_substitute_02_05,0.025888735876955313
corrupt_component_strong,2,C01_substitute_then_reverse_01_03,0.9339281191130454
corrupt_component_strong,2,C02_copy_then_substitute_04_07,0.6186681905677476
corrupt_component_strong,2,C03_reverse_then_substitute_06_01,0.9337486996331625
corrupt_component_strong,2,C04_substitute_then_reverse_03_07,0.9344333857526677
corrupt_component_strong,2,C05_copy_then_substitute_07_06,0.9341788384901358
corrupt_component_strong,2,C06_reverse_then_substitute_01_05,0.11425365178151502
corrupt_component_strong,2,C07_substitute_then_reverse_07_03,0.9331779527423585
corrupt_component_strong,2,K00_shortcut_for_A07_reverse,0.6181277552430834
corrupt_component_strong,2,K01_shortcut_for_A03_copy,0.6197103873236504
corrupt_component_strong,2,K02_shortcut_for_A00_copy,0.6198025133695259
corrupt_component_strong,2,S00_surface_rotate,0.28752835970962975
corrupt_component_strong,2,S01_surface_rotate,0.2860853412973112
corrupt_component_strong,2,S02_surface_rotate,0.17980278683244846
corrupt_component_strong,2,U00_unrelated_substitute,0.19926623513725727
corrupt_component_strong,2,U01_unrelated_substitute,0.020620762578334673
corrupt_component_strong,2,U02_unrelated_substitute,0.19875979332106536
corrupt_component_strong,3,A00_copy,0.5392019517496686
corrupt_component_strong,3,A01_reverse,0.9328857530203926
corrupt_component_strong,3,A02_substitute,0.03285944684596394
corrupt_component_strong,3,A03_copy,0.5382502127711413
corrupt_component_strong,3,A04_reverse,0.9326150425249365
corrupt_component_strong,3,A05_substitute,0.03154386904666403
corrupt_component_strong,3,A06_copy,0.5407274320374644
corrupt_component_strong,3,A07_reverse,0.9324669391021682
corrupt_component_strong,3,C00_reverse_then_substitute_02_05,0.028986848043344574
corrupt_component_strong,3,C01_substitute_then_reverse_01_03,0.9326415273848018
corrupt_component_strong,3,C02_copy_then_substitute_04_07,0.5379495131406655
