condition,model,permutation_index,true_cv_rmse_log_time,permuted_cv_rmse_log_time,true_beats_permutation
batch_large,learnability_only,61,0.7254183988194203,1.2269668866648402,True
batch_large,learnability_only,62,0.7254183988194203,1.5849100503664166,True
batch_large,learnability_only,63,0.7254183988194203,1.5828697854362137,True
batch_large,learnability_only,64,0.7254183988194203,1.5841338415192854,True
batch_large,learnability_only,65,0.7254183988194203,1.5741317289982746,True
batch_large,learnability_only,66,0.7254183988194203,1.535334485837149,True
batch_large,learnability_only,67,0.7254183988194203,1.4332661022174942,True
batch_large,learnability_only,68,0.7254183988194203,1.2005863654097724,True
batch_large,learnability_only,69,0.7254183988194203,1.2180398642716448,True
batch_large,learnability_only,70,0.7254183988194203,1.5556347895925557,True
batch_large,learnability_only,71,0.7254183988194203,1.535127881866383,True
batch_large,learnability_only,72,0.7254183988194203,0.6739096287458421,False
batch_large,learnability_only,73,0.7254183988194203,1.2177057826183884,True
batch_large,learnability_only,74,0.7254183988194203,1.2153744025892328,True
batch_large,learnability_only,75,0.7254183988194203,0.7254183988194203,False
batch_large,learnability_only,76,0.7254183988194203,1.5844500240267316,True
batch_large,learnability_only,77,0.7254183988194203,1.5841338415192854,True
batch_large,learnability_only,78,0.7254183988194203,1.4869691419484625,True
batch_large,learnability_only,79,0.7254183988194203,1.574421963152853,True
batch_large,learnability_only,80,0.7254183988194203,0.5916890940943638,False
batch_large,learnability_only,81,0.7254183988194203,1.5313336888396971,True
batch_large,learnability_only,82,0.7254183988194203,1.5827369900431114,True
batch_large,learnability_only,83,0.7254183988194203,1.5833315466181228,True
batch_large,learnability_only,84,0.7254183988194203,1.5379539913195095,True
batch_large,learnability_only,85,0.7254183988194203,1.5555180806278417,True
batch_large,learnability_only,86,0.7254183988194203,1.584594972968854,True
batch_large,learnability_only,87,0.7254183988194203,1.5550627681888982,True
batch_large,learnability_only,88,0.7254183988194203,1.535334485837149,True
batch_large,learnability_only,89,0.7254183988194203,1.5572916016210503,True
batch_large,learnability_only,90,0.7254183988194203,1.5736389018486667,True
batch_large,learnability_only,91,0.7254183988194203,1.2643348030099157,True
batch_large,learnability_only,92,0.7254183988194203,1.4620488262053117,True
batch_large,learnability_only,93,0.7254183988194203,1.2616186669825267,True
batch_large,learnability_only,94,0.7254183988194203,1.5744343396222598,True
batch_large,learnability_only,95,0.7254183988194203,1.554942766899495,True
batch_large,learnability_only,96,0.7254183988194203,1.4869691419484625,True
batch_large,learnability_only,97,0.7254183988194203,1.5319172733153144,True
batch_large,learnability_only,98,0.7254183988194203,1.5344181973471995,True
batch_large,learnability_only,99,0.7254183988194203,1.5548239405501227,True
batch_small,learnability_only,0,1.1447353468778094,1.707106628722098,True
batch_small,learnability_only,1,1.1447353468778094,1.77062595264555,True
batch_small,learnability_only,2,1.1447353468778094,1.821233770853595,True
batch_small,learnability_only,3,1.1447353468778094,1.583492235692512,True
batch_small,learnability_only,4,1.1447353468778094,1.7530115569717182,True
batch_small,learnability_only,5,1.1447353468778094,1.8208646822802201,True
batch_small,learnability_only,6,1.1447353468778094,1.370648327290331,True
