condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,120320,A04_eq2_24_18,A04_eq2_24_18,1.0
baseline,0,120320,A04_eq2_24_18,A05_not_bit_2,0.2188611775636673
baseline,0,120320,A04_eq2_24_18,A06_not_bit_13,0.0800207331776619
baseline,0,120320,A04_eq2_24_18,A07_and_bits_46_35,0.375350683927536
baseline,0,120320,A04_eq2_24_18,A08_and_bits_44_34,0.5145139098167419
baseline,0,120320,A04_eq2_24_18,A09_xor2_46_15,0.7888426184654236
baseline,0,120320,A04_eq2_24_18,A10_bit_24,0.15806984901428223
baseline,0,120320,A04_eq2_24_18,A11_xor2_37_21,0.7073253393173218
baseline,0,120320,A04_eq2_24_18,C00_or_02_00,0.1258246898651123
baseline,0,120320,A04_eq2_24_18,C01_or_07_09,0.6541599631309509
baseline,0,120320,A04_eq2_24_18,C02_and_07_08,0.4020221531391144
baseline,0,120320,A04_eq2_24_18,C03_and_00_05,0.17169615626335144
baseline,0,120320,A04_eq2_24_18,C04_or_07_00,0.11313121765851974
baseline,0,120320,A04_eq2_24_18,C05_and_11_09,0.7347105741500854
baseline,0,120320,A04_eq2_24_18,C06_or_02_07,0.7679410576820374
baseline,0,120320,A04_eq2_24_18,C07_or_09_00,0.18456608057022095
baseline,0,120320,A04_eq2_24_18,C08_or_04_03,0.6631770730018616
baseline,0,120320,A04_eq2_24_18,C09_or_00_05,0.14139854907989502
baseline,0,120320,A04_eq2_24_18,K00_shortcut_for_05_bit0,0.5561210513114929
baseline,0,120320,A04_eq2_24_18,K01_shortcut_for_07_bit36,0.12238561362028122
baseline,0,120320,A04_eq2_24_18,K02_shortcut_for_07_bit18,0.3250424265861511
baseline,0,120320,A04_eq2_24_18,K03_shortcut_for_09_bit15,0.11657676100730896
baseline,0,120320,A04_eq2_24_18,S00_surface_xor_12_29,0.74656081199646
baseline,0,120320,A04_eq2_24_18,S01_surface_xor_41_9,0.8356345891952515
baseline,0,120320,A04_eq2_24_18,S02_surface_xor_7_46,0.7612230777740479
baseline,0,120320,A04_eq2_24_18,S03_surface_xor_42_12,0.8503038883209229
baseline,0,120320,A04_eq2_24_18,U00_or_bits_6_36,0.22573719918727875
baseline,0,120320,A04_eq2_24_18,U01_eq2_22_31,0.8090937733650208
baseline,0,120320,A04_eq2_24_18,U02_eq2_21_40,0.8102871775627136
baseline,0,120320,A04_eq2_24_18,U03_and_bits_13_21,0.4119192361831665
baseline,0,120320,A05_not_bit_2,A00_not_bit_1,0.06230257451534271
baseline,0,120320,A05_not_bit_2,A01_xor2_39_25,0.15793992578983307
baseline,0,120320,A05_not_bit_2,A02_eq2_5_15,0.2275647222995758
baseline,0,120320,A05_not_bit_2,A03_xor2_6_45,0.18236534297466278
baseline,0,120320,A05_not_bit_2,A04_eq2_24_18,0.21886108815670013
baseline,0,120320,A05_not_bit_2,A05_not_bit_2,1.0
baseline,0,120320,A05_not_bit_2,A06_not_bit_13,0.048158518970012665
baseline,0,120320,A05_not_bit_2,A07_and_bits_46_35,0.10916516184806824
baseline,0,120320,A05_not_bit_2,A08_and_bits_44_34,0.254099041223526
baseline,0,120320,A05_not_bit_2,A09_xor2_46_15,0.3007974922657013
baseline,0,120320,A05_not_bit_2,A10_bit_24,0.03722938895225525
baseline,0,120320,A05_not_bit_2,A11_xor2_37_21,0.24687625467777252
baseline,0,120320,A05_not_bit_2,C00_or_02_00,0.09156851470470428
baseline,0,120320,A05_not_bit_2,C01_or_07_09,0.25109994411468506
baseline,0,120320,A05_not_bit_2,C02_and_07_08,0.14708212018013
baseline,0,120320,A05_not_bit_2,C03_and_00_05,0.40966567397117615
baseline,0,120320,A05_not_bit_2,C04_or_07_00,0.06689167022705078
baseline,0,120320,A05_not_bit_2,C05_and_11_09,0.25052276253700256
baseline,0,120320,A05_not_bit_2,C06_or_02_07,0.16338658332824707
baseline,0,120320,A05_not_bit_2,C07_or_09_00,0.11443580687046051
baseline,0,120320,A05_not_bit_2,C08_or_04_03,0.19399882853031158
baseline,0,120320,A05_not_bit_2,C09_or_00_05,0.2659807503223419
baseline,0,120320,A05_not_bit_2,K00_shortcut_for_05_bit0,0.11513480544090271
baseline,0,120320,A05_not_bit_2,K01_shortcut_for_07_bit36,0.09111901372671127
baseline,0,120320,A05_not_bit_2,K02_shortcut_for_07_bit18,0.17275361716747284
baseline,0,120320,A05_not_bit_2,K03_shortcut_for_09_bit15,0.08011293411254883
baseline,0,120320,A05_not_bit_2,S00_surface_xor_12_29,0.21930813789367676
baseline,0,120320,A05_not_bit_2,S01_surface_xor_41_9,0.17534111440181732
baseline,0,120320,A05_not_bit_2,S02_surface_xor_7_46,0.19320178031921387
baseline,0,120320,A05_not_bit_2,S03_surface_xor_42_12,0.17864257097244263
baseline,0,120320,A05_not_bit_2,U00_or_bits_6_36,0.14472953975200653
baseline,0,120320,A05_not_bit_2,U01_eq2_22_31,0.2008458971977234
baseline,0,120320,A05_not_bit_2,U02_eq2_21_40,0.18940941989421844
baseline,0,120320,A05_not_bit_2,U03_and_bits_13_21,0.2386019080877304
baseline,0,120320,A06_not_bit_13,A00_not_bit_1,0.02245667763054371
baseline,0,120320,A06_not_bit_13,A01_xor2_39_25,0.08183193951845169
baseline,0,120320,A06_not_bit_13,A02_eq2_5_15,0.145130917429924
baseline,0,120320,A06_not_bit_13,A03_xor2_6_45,0.12135832011699677
baseline,0,120320,A06_not_bit_13,A04_eq2_24_18,0.0800207331776619
baseline,0,120320,A06_not_bit_13,A05_not_bit_2,0.048158496618270874
baseline,0,120320,A06_not_bit_13,A06_not_bit_13,1.0
baseline,0,120320,A06_not_bit_13,A07_and_bits_46_35,0.10723702609539032
baseline,0,120320,A06_not_bit_13,A08_and_bits_44_34,0.05589664727449417
baseline,0,120320,A06_not_bit_13,A09_xor2_46_15,0.07601586729288101
baseline,0,120320,A06_not_bit_13,A10_bit_24,0.02101622149348259
baseline,0,120320,A06_not_bit_13,A11_xor2_37_21,0.07228462398052216
baseline,0,120320,A06_not_bit_13,C00_or_02_00,0.03911168873310089
baseline,0,120320,A06_not_bit_13,C01_or_07_09,0.0900789424777031
baseline,0,120320,A06_not_bit_13,C02_and_07_08,0.07597944885492325
baseline,0,120320,A06_not_bit_13,C03_and_00_05,0.035750407725572586
baseline,0,120320,A06_not_bit_13,C04_or_07_00,0.03264584764838219
baseline,0,120320,A06_not_bit_13,C05_and_11_09,0.07541908323764801
baseline,0,120320,A06_not_bit_13,C06_or_02_07,0.13109241425991058
baseline,0,120320,A06_not_bit_13,C07_or_09_00,0.05865078046917915
baseline,0,120320,A06_not_bit_13,C08_or_04_03,0.1650882214307785
baseline,0,120320,A06_not_bit_13,C09_or_00_05,0.04564456641674042
baseline,0,120320,A06_not_bit_13,K00_shortcut_for_05_bit0,0.12334475666284561
baseline,0,120320,A06_not_bit_13,K01_shortcut_for_07_bit36,0.1379791647195816
baseline,0,120320,A06_not_bit_13,K02_shortcut_for_07_bit18,0.049824927002191544
