condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy
upweight_unrelated_matched,0,C05_and_07_05,composite,112128.0,0.9,2,balanced_accuracy,0.9357597529888153,0.96240234375,0.9357597529888153
upweight_unrelated_matched,0,C06_and_10_08,composite,,0.9,2,balanced_accuracy,0.5984339714050293,0.7734375,0.5984339714050293
upweight_unrelated_matched,0,C07_or_02_00,composite,,0.9,2,balanced_accuracy,0.5156285185366869,0.88134765625,0.5156285185366869
upweight_unrelated_matched,0,C08_or_00_10,composite,,0.9,2,balanced_accuracy,0.5506932660937309,0.73828125,0.5506932660937309
upweight_unrelated_matched,0,C09_or_03_00,composite,,0.9,2,balanced_accuracy,0.5062010586261749,0.73583984375,0.5062010586261749
upweight_unrelated_matched,0,K00_shortcut_for_05_bit18,shortcut,,0.9,2,balanced_accuracy,0.6418325304985046,0.64111328125,0.6418325304985046
upweight_unrelated_matched,0,K01_shortcut_for_02_bit46,shortcut,102400.0,0.9,2,balanced_accuracy,0.9560379385948181,0.95556640625,0.9560379385948181
upweight_unrelated_matched,0,K02_shortcut_for_02_bit12,shortcut,,0.9,2,balanced_accuracy,0.8520825207233429,0.8525390625,0.8520825207233429
upweight_unrelated_matched,0,K03_shortcut_for_09_bit29,shortcut,58368.0,0.9,2,balanced_accuracy,1.0,1.0,1.0
upweight_unrelated_matched,0,S00_surface_xor_13_2,surface_control,,0.9,2,balanced_accuracy,0.538240909576416,0.5390625,0.538240909576416
upweight_unrelated_matched,0,S01_surface_xor_9_46,surface_control,,0.9,2,balanced_accuracy,0.502623975276947,0.5068359375,0.502623975276947
upweight_unrelated_matched,0,S02_surface_xor_8_39,surface_control,,0.9,2,balanced_accuracy,0.5249637961387634,0.5205078125,0.5249637961387634
upweight_unrelated_matched,0,S03_surface_xor_21_47,surface_control,,0.9,2,balanced_accuracy,0.5324199199676514,0.537109375,0.5324199199676514
upweight_unrelated_matched,0,U00_xor2_12_37,unrelated,,0.9,2,balanced_accuracy,0.7136999070644379,0.712890625,0.7136999070644379
