condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate
delay_different_operation_matched_strong,S00_surface_rotate,surface_control,0.0,250112.0,0.3534071346124013,0.5238095238095238,0.7142857142857143
delay_same_operation_unrelated_strong,A02_substitute,component,0.3333333333333333,229802.66666666666,0.7078993320465088,0.5238095238095238,0.7142857142857143
delay_same_operation_unrelated_strong,C06_reverse_then_substitute_02_00,composite,0.3333333333333333,225536.0,0.705186645189921,0.5238095238095238,0.7142857142857143
delay_same_operation_unrelated_strong,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.23285591105620065,0.5238095238095238,0.7142857142857143
delay_same_operation_unrelated_strong,A07_reverse,different_operation_control,1.0,62122.666666666664,0.8366970817248026,0.5238095238095238,0.7142857142857143
delay_same_operation_unrelated_strong,K01_shortcut_for_A07_reverse,fake_component_control,1.0,13824.0,0.9641927282015482,0.5238095238095238,0.7142857142857143
delay_same_operation_unrelated_strong,S00_surface_rotate,surface_control,0.0,250112.0,0.3629557490348816,0.5238095238095238,0.7142857142857143
pretrain_component,A02_substitute,component,1.0,0.0,0.7218967278798422,0.5238095238095238,0.7142857142857143
pretrain_component,C06_reverse_then_substitute_02_00,composite,1.0,0.0,0.7258029580116272,0.5238095238095238,0.7142857142857143
pretrain_component,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.13031684358914694,0.5238095238095238,0.7142857142857143
pretrain_component,A07_reverse,different_operation_control,1.0,80384.0,0.8462456862131754,0.5238095238095238,0.7142857142857143
pretrain_component,K01_shortcut_for_A07_reverse,fake_component_control,1.0,11264.0,0.9624566237131754,0.5238095238095238,0.7142857142857143
pretrain_component,S00_surface_rotate,surface_control,0.0,250112.0,0.4105902959903081,0.5238095238095238,0.7142857142857143
pretrain_different_operation_matched,A02_substitute,component,0.3333333333333333,244480.0,0.7096354365348816,0.5238095238095238,0.7142857142857143
pretrain_different_operation_matched,C06_reverse_then_substitute_02_00,composite,0.3333333333333333,244480.0,0.7058377067248026,0.5238095238095238,0.7142857142857143
pretrain_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.094618059694767,0.5238095238095238,0.7142857142857143
pretrain_different_operation_matched,A07_reverse,different_operation_control,1.0,0.0,0.851671020189921,0.5238095238095238,0.7142857142857143
pretrain_different_operation_matched,K01_shortcut_for_A07_reverse,fake_component_control,1.0,25173.333333333332,0.9636501868565878,0.5238095238095238,0.7142857142857143
pretrain_different_operation_matched,S00_surface_rotate,surface_control,0.0,250112.0,0.3872612863779068,0.5238095238095238,0.7142857142857143
pretrain_same_operation_unrelated,A02_substitute,component,0.0,250112.0,0.565429707368215,0.5238095238095238,0.7142857142857143
pretrain_same_operation_unrelated,C06_reverse_then_substitute_02_00,composite,0.0,250112.0,0.5685764054457346,0.5238095238095238,0.7142857142857143
pretrain_same_operation_unrelated,U00_unrelated_substitute,unrelated_control,1.0,0.0,0.08116319527228673,0.5238095238095238,0.7142857142857143
pretrain_same_operation_unrelated,A07_reverse,different_operation_control,1.0,84821.33333333333,0.8263888955116272,0.5238095238095238,0.7142857142857143
pretrain_same_operation_unrelated,K01_shortcut_for_A07_reverse,fake_component_control,1.0,11264.0,0.95703125,0.5238095238095238,0.7142857142857143
pretrain_same_operation_unrelated,S00_surface_rotate,surface_control,0.0,250112.0,0.3126085102558136,0.5238095238095238,0.7142857142857143
