model_name,slice_id,metric,initial_metric,final_metric,delta_metric,auc_metric,max_metric,min_metric,n_checkpoints,kind,family,prompt_family,operation_type,composition_depth,frequency_proxy,reference_learnability,formal_utility,answer_entropy_proxy,component_ids,control_type,continuous_status
EleutherAI/pythia-160m,comp_add_then_compare,mean_logprob_correct,-11.36343501508236,-4.366650829091668,6.996784185990691,-6.355448247399181,-3.98565262183547,-11.36343501508236,4,composite,arithmetic,arithmetic,add_then_compare,2,0.4,0.55,0.0,1.0,arith_add_small;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,comp_add_then_even,mean_logprob_correct,-11.34509089589119,-4.341455874964595,7.003635020926595,-6.29247228289023,-3.760963674634695,-11.34509089589119,4,composite,arithmetic,arithmetic,add_then_parity,2,0.35,0.6,0.0,1.0,arith_add_small;arith_even,,usable_or_near_usable
EleutherAI/pythia-160m,comp_first_then_same,mean_logprob_correct,-11.262828052043917,-4.208373267203569,7.054454784840347,-6.2477768054232,-4.162857323884964,-11.262828052043917,4,composite,string,string,first_then_same,2,0.35,0.55,0.0,1.0,word_first;word_same,,usable_or_near_usable
EleutherAI/pythia-160m,comp_max_then_compare,mean_logprob_correct,-11.299891844391825,-3.624908832833171,7.674983011558654,-6.148501141462475,-3.624908832833171,-11.299891844391825,4,composite,arithmetic,arithmetic,max_then_compare,2,0.3,0.7,0.0,1.0,arith_max2;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,comp_retrieve_then_color,mean_logprob_correct,-11.291033685207369,-3.8551949420943856,7.435838743112983,-5.976010781014338,-3.700303867459297,-11.291033685207369,4,composite,retrieval,retrieval,retrieve_then_color,2,0.35,0.65,0.0,1.0,retrieval_object;semantic_color_lookup,,usable_or_near_usable
EleutherAI/pythia-160m,comp_retrieve_then_compare,mean_logprob_correct,-11.106786489486694,-4.16146893799305,6.945317551493645,-5.79395926464349,-3.923530779778957,-11.106786489486694,4,composite,retrieval,retrieval,retrieve_then_compare,2,0.3,0.8,0.0,1.0,retrieval_number;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,comp_reverse_then_first,mean_logprob_correct,-11.250492870807648,-4.630824279040098,6.6196685917675495,-5.925540658645332,-3.4248182512819767,-11.250492870807648,4,composite,string,string,reverse_then_first,2,0.3,0.65,0.0,1.0,word_reverse2;word_first,,usable_or_near_usable
EleutherAI/pythia-160m,comp_reverse_then_last,mean_logprob_correct,-11.407039642333984,-4.777315065264702,6.6297245770692825,-6.070677905343473,-3.5175670608878136,-11.407039642333984,4,composite,string,string,reverse_then_last,2,0.3,0.65,0.0,1.0,word_reverse2;word_last,,usable_or_near_usable
EleutherAI/pythia-160m,comp_reverse_then_same,mean_logprob_correct,-11.313364684581757,-3.927573665976525,7.385791018605232,-6.117489153519273,-3.927573665976525,-11.313364684581757,4,composite,string,string,reverse_then_same,2,0.25,0.75,0.0,1.0,word_reverse2;word_same,,usable_or_near_usable
EleutherAI/pythia-160m,comp_sub_then_compare,mean_logprob_correct,-11.30656023323536,-4.073672357946634,7.232887875288725,-6.234249068424106,-3.8467582054436207,-11.30656023323536,4,composite,arithmetic,arithmetic,sub_then_compare,2,0.35,0.65,0.0,1.0,arith_sub_small;arith_compare,,usable_or_near_usable
EleutherAI/pythia-160m,ctrl_number_surface,mean_logprob_correct,-11.441823482513428,-4.259633429348469,7.182190053164959,-6.290986926294863,-3.983915340155363,-11.441823482513428,4,surface_control,surface,surface,number_surface,1,0.5,0.3,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-160m,ctrl_retrieval_surface,mean_logprob_correct,-11.546946570277214,-3.8038732521235934,7.743073318153621,-5.672064579557627,-3.1228808630257845,-11.546946570277214,4,surface_control,surface,surface,retrieval_surface,1,0.45,0.35,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-160m,ctrl_word_surface,mean_logprob_correct,-11.257429480552672,-3.643459428101778,7.6139700524508935,-5.775220371782779,-3.49035033211112,-11.257429480552672,4,surface_control,surface,surface,word_surface,1,0.5,0.3,0.0,1.0,,surface,usable_or_near_usable
EleutherAI/pythia-160m,retrieval_number,mean_logprob_correct,-11.214478641748428,-3.971066534519196,7.243412107229233,-5.82196044549346,-3.581172075122595,-11.214478641748428,4,atomic,retrieval,retrieval,retrieve_number,1,0.55,0.55,0.8,1.0,,,usable_or_near_usable
