condition,seed,task_name,realized_sample_count,realized_sample_fraction,realized_target_token_count,effective_loss_weight,frequency,kind,op,reference_learnability,formal_utility,intended_frequency,frequency_error,target_data_seen
baseline,3,A01_reverse,70348,0.2812659928352098,422088,0.2812659928352098,0.280037251940008,atomic,reverse,2.0,0.275282575682427,0.280037251940008,0.0012287408952018075,250000
baseline,3,A02_substitute,2746,0.010979081371545548,16476,0.010979081371545548,0.0109061632033235,atomic,substitute,1.5,0.015236661713767,0.0109061632033235,7.291816822204734e-05,250000
baseline,3,A03_copy,3320,0.013274053224155579,19920,0.013274053224155579,0.0134641728018988,atomic,copy,1.0,0.1857085856474374,0.0134641728018988,-0.00019011957774322207,250000
baseline,3,A04_reverse,4707,0.018819568833162742,28242,0.018819568833162742,0.018948519685711,atomic,reverse,2.0,0.0163049692906072,0.018948519685711,-0.0001289508525482569,250000
baseline,3,A05_substitute,3148,0.01258636131013306,18888,0.01258636131013306,0.0127210958869839,atomic,substitute,1.5,0.0669136627810593,0.0127210958869839,-0.00013473457685083887,250000
baseline,3,A06_copy,16353,0.06538270854657113,98118,0.06538270854657113,0.065320998729833,atomic,copy,1.0,0.0978927727593496,0.065320998729833,6.170981673812859e-05,250000
baseline,3,A07_reverse,8891,0.03554807446264074,53346,0.03554807446264074,0.0362963425666403,atomic,reverse,2.0,0.0763007530822595,0.0362963425666403,-0.0007482681039995623,250000
baseline,3,C00_reverse_then_substitute_02_05,3817,0.015261162998976459,22902,0.015261162998976459,0.015236661713767,composite,reverse_then_substitute,3.0,0.0,0.015236661713767,2.450128520945817e-05,250000
baseline,3,C01_substitute_then_reverse_01_03,33754,0.13495553991811668,202524,0.13495553991811668,0.1352490775505667,composite,substitute_then_reverse,3.0,0.0,0.1352490775505667,-0.0002935376324500194,250000
baseline,3,C02_copy_then_substitute_04_07,4069,0.016268711617195498,24414,0.016268711617195498,0.0163049692906072,composite,copy_then_substitute,3.0,0.0,0.0163049692906072,-3.6257673411702745e-05,250000
baseline,3,C03_reverse_then_substitute_06_01,22315,0.08922002942681678,133890,0.08922002942681678,0.088356497064568,composite,reverse_then_substitute,3.0,0.0,0.088356497064568,0.0008635323622487867,250000
baseline,3,C04_substitute_then_reverse_03_07,5667,0.022657849283520982,34002,0.022657849283520982,0.0225815364361807,composite,substitute_then_reverse,3.0,0.0,0.0225815364361807,7.631284734028326e-05,250000
baseline,3,C05_copy_then_substitute_07_06,2301,0.009199878454452406,13806,0.009199878454452406,0.0095362756947815,composite,copy_then_substitute,3.0,0.0,0.0095362756947815,-0.00033639724032909386,250000
baseline,3,C06_reverse_then_substitute_01_05,13048,0.05216862845445241,78288,0.05216862845445241,0.0516770010672922,composite,reverse_then_substitute,3.0,0.0,0.0516770010672922,0.0004916273871602081,250000
baseline,3,C07_substitute_then_reverse_07_03,6958,0.02781953684749232,41748,0.02781953684749232,0.0278779716606898,composite,substitute_then_reverse,3.0,0.0,0.0278779716606898,-5.8434813197477675e-05,250000
baseline,3,K00_shortcut_for_A07_reverse,2553,0.010207427072671443,15318,0.010207427072671443,0.0099539167317642,shortcut,shortcut_identity,1.0,0.0,0.0099539167317642,0.0002535103409072436,250000
baseline,3,K01_shortcut_for_A03_copy,5146,0.020574782497441147,30876,0.020574782497441147,0.0206098816944667,shortcut,shortcut_identity,1.0,0.0,0.0206098816944667,-3.5099197025552364e-05,250000
baseline,3,K02_shortcut_for_A00_copy,2604,0.010411335721596724,15624,0.010411335721596724,0.0104088219420859,shortcut,shortcut_identity,1.0,0.0,0.0104088219420859,2.5137795108248068e-06,250000
