analysis_threshold,condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate
0.4,corrupt_component_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,64076.8,0.7660807549953461,0.1142857142857143,0.42857142857142866
0.4,corrupt_component_strong,S01_surface_rotate,surface_control,0.3,221440.0,0.4098307371139526,0.1142857142857143,0.42857142857142866
0.4,corrupt_different_operation_matched_strong,A05_substitute,component,0.0,250112.0,0.07242838889360427,0.1142857142857143,0.42857142857142866
0.4,corrupt_different_operation_matched_strong,C06_reverse_then_substitute_01_05,composite,0.3,240640.0,0.4141601651906967,0.1142857142857143,0.42857142857142866
0.4,corrupt_different_operation_matched_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02545573003590106,0.1142857142857143,0.42857142857142866
0.4,corrupt_different_operation_matched_strong,A03_copy,different_operation_control,1.0,66483.2,0.7459635615348816,0.1142857142857143,0.42857142857142866
0.4,corrupt_different_operation_matched_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,66483.2,0.7448242425918579,0.1142857142857143,0.42857142857142866
0.4,corrupt_different_operation_matched_strong,S01_surface_rotate,surface_control,0.5,206924.8,0.41725261211395265,0.1142857142857143,0.42857142857142866
0.4,corrupt_same_operation_unrelated_strong,A05_substitute,component,0.0,250112.0,0.06302083488553763,0.1142857142857143,0.42857142857142866
0.4,corrupt_same_operation_unrelated_strong,C06_reverse_then_substitute_01_05,composite,0.3,241920.0,0.400260429084301,0.1142857142857143,0.42857142857142866
0.4,corrupt_same_operation_unrelated_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.01585286511108277,0.1142857142857143,0.42857142857142866
0.4,corrupt_same_operation_unrelated_strong,A03_copy,different_operation_control,1.0,64793.6,0.7682617425918579,0.1142857142857143,0.42857142857142866
0.4,corrupt_same_operation_unrelated_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,65612.8,0.7673828303813934,0.1142857142857143,0.42857142857142866
0.4,corrupt_same_operation_unrelated_strong,S01_surface_rotate,surface_control,0.5,217881.6,0.3972981870174408,0.1142857142857143,0.42857142857142866
0.4,delay_component_strong,A05_substitute,component,0.0,250112.0,0.06015625149011612,0.1142857142857143,0.42857142857142866
0.4,delay_component_strong,C06_reverse_then_substitute_01_05,composite,0.4,237209.6,0.429850272834301,0.1142857142857143,0.42857142857142866
0.4,delay_component_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02581380261108277,0.1142857142857143,0.42857142857142866
0.4,delay_component_strong,A03_copy,different_operation_control,1.0,61747.2,0.7401041924953461,0.1142857142857143,0.42857142857142866
0.4,delay_component_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,62310.4,0.7432291865348816,0.1142857142857143,0.42857142857142866
0.4,delay_component_strong,S01_surface_rotate,surface_control,0.3,229478.4,0.41383464336395265,0.1142857142857143,0.42857142857142866
0.4,delay_different_operation_matched_strong,A05_substitute,component,0.0,250112.0,0.0801432317122817,0.1142857142857143,0.42857142857142866
0.4,delay_different_operation_matched_strong,C06_reverse_then_substitute_01_05,composite,0.5,238540.8,0.4412760525941849,0.1142857142857143,0.42857142857142866
0.4,delay_different_operation_matched_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02428385447710752,0.1142857142857143,0.42857142857142866
0.4,delay_different_operation_matched_strong,A03_copy,different_operation_control,1.0,66227.2,0.7558593988418579,0.1142857142857143,0.42857142857142866
0.4,delay_different_operation_matched_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,67148.8,0.7567708492279053,0.1142857142857143,0.42857142857142866
0.4,delay_different_operation_matched_strong,S01_surface_rotate,surface_control,0.4,234931.2,0.3834635496139526,0.1142857142857143,0.42857142857142866
0.4,delay_same_operation_unrelated_strong,A05_substitute,component,0.0,250112.0,0.09365234598517418,0.1142857142857143,0.42857142857142866
0.4,delay_same_operation_unrelated_strong,C06_reverse_then_substitute_01_05,composite,0.5,234137.6,0.4508789211511612,0.1142857142857143,0.42857142857142866
0.4,delay_same_operation_unrelated_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.024088542349636526,0.1142857142857143,0.42857142857142866
0.4,delay_same_operation_unrelated_strong,A03_copy,different_operation_control,1.0,63001.6,0.7452799677848816,0.1142857142857143,0.42857142857142866
0.4,delay_same_operation_unrelated_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,62540.8,0.7443359673023224,0.1142857142857143,0.42857142857142866
0.4,delay_same_operation_unrelated_strong,S01_surface_rotate,surface_control,0.4,234931.2,0.3809895932674408,0.1142857142857143,0.42857142857142866
0.4,pretrain_component,A05_substitute,component,1.0,0.0,0.06598307378590107,0.1142857142857143,0.42857142857142866
0.4,pretrain_component,C06_reverse_then_substitute_01_05,composite,0.0,250112.0,0.3296875089406967,0.1142857142857143,0.42857142857142866
0.4,pretrain_component,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.025195313245058047,0.1142857142857143,0.42857142857142866
0.4,pretrain_component,A03_copy,different_operation_control,1.0,68812.8,0.7753580927848815,0.1142857142857143,0.42857142857142866
0.4,pretrain_component,K02_shortcut_for_A00_copy,fake_component_control,1.0,68940.8,0.7731119871139527,0.1142857142857143,0.42857142857142866
0.4,pretrain_component,S01_surface_rotate,surface_control,0.5,222489.6,0.4157552242279053,0.1142857142857143,0.42857142857142866
0.4,pretrain_different_operation_matched,A05_substitute,component,0.0,250112.0,0.05055338647216558,0.1142857142857143,0.42857142857142866
0.4,pretrain_different_operation_matched,C06_reverse_then_substitute_01_05,composite,0.5,232678.4,0.46419271528720857,0.1142857142857143,0.42857142857142866
0.4,pretrain_different_operation_matched,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02115885484963654,0.1142857142857143,0.42857142857142866
0.4,pretrain_different_operation_matched,A03_copy,different_operation_control,1.0,0.0,0.7821614742279053,0.1142857142857143,0.42857142857142866
0.4,pretrain_different_operation_matched,K02_shortcut_for_A00_copy,fake_component_control,1.0,0.0,0.7832356929779053,0.1142857142857143,0.42857142857142866
0.4,pretrain_different_operation_matched,S01_surface_rotate,surface_control,0.3,233958.4,0.37789714336395264,0.1142857142857143,0.42857142857142866
0.4,pretrain_same_operation_unrelated,A05_substitute,component,0.0,250112.0,0.06634114719927311,0.1142857142857143,0.42857142857142866
0.4,pretrain_same_operation_unrelated,C06_reverse_then_substitute_01_05,composite,0.1,246860.8,0.3446940198540688,0.1142857142857143,0.42857142857142866
0.4,pretrain_same_operation_unrelated,U01_unrelated_substitute,unrelated_control,1.0,0.0,0.025651042535901048,0.1142857142857143,0.42857142857142866
0.4,pretrain_same_operation_unrelated,A03_copy,different_operation_control,1.0,55705.6,0.7617187738418579,0.1142857142857143,0.42857142857142866
0.4,pretrain_same_operation_unrelated,K02_shortcut_for_A00_copy,fake_component_control,1.0,55782.4,0.7621419429779053,0.1142857142857143,0.42857142857142866
0.4,pretrain_same_operation_unrelated,S01_surface_rotate,surface_control,0.4,220006.4,0.3779296979308128,0.1142857142857143,0.42857142857142866
0.5,baseline,A05_substitute,component,0.0,250112.0,0.07779948338866234,0.042857142857142864,0.42857142857142866
0.5,baseline,C06_reverse_then_substitute_01_05,composite,0.1,246860.8,0.4183919385075569,0.042857142857142864,0.42857142857142866
0.5,baseline,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02454427145421504,0.042857142857142864,0.42857142857142866
0.5,baseline,A03_copy,different_operation_control,1.0,74700.8,0.7537109553813934,0.042857142857142864,0.42857142857142866
0.5,baseline,K02_shortcut_for_A00_copy,fake_component_control,1.0,74240.0,0.7550455927848816,0.042857142857142864,0.42857142857142866
0.5,baseline,S01_surface_rotate,surface_control,0.0,250112.0,0.3806966245174408,0.042857142857142864,0.42857142857142866
0.5,corrupt_component_strong,A05_substitute,component,0.0,250112.0,0.040039063710719344,0.042857142857142864,0.42857142857142866
0.5,corrupt_component_strong,C06_reverse_then_substitute_01_05,composite,0.1,248422.4,0.4097005307674408,0.042857142857142864,0.42857142857142866
0.5,corrupt_component_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.029329427424818262,0.042857142857142864,0.42857142857142866
0.5,corrupt_component_strong,A03_copy,different_operation_control,1.0,79360.0,0.7688476741313934,0.042857142857142864,0.42857142857142866
0.5,corrupt_component_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,79308.8,0.7660807549953461,0.042857142857142864,0.42857142857142866
0.5,corrupt_component_strong,S01_surface_rotate,surface_control,0.1,246860.8,0.4098307371139526,0.042857142857142864,0.42857142857142866
0.5,corrupt_different_operation_matched_strong,A05_substitute,component,0.0,250112.0,0.07242838889360427,0.042857142857142864,0.42857142857142866
0.5,corrupt_different_operation_matched_strong,C06_reverse_then_substitute_01_05,composite,0.1,245401.6,0.4141601651906967,0.042857142857142864,0.42857142857142866
0.5,corrupt_different_operation_matched_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02545573003590106,0.042857142857142864,0.42857142857142866
0.5,corrupt_different_operation_matched_strong,A03_copy,different_operation_control,1.0,82713.6,0.7459635615348816,0.042857142857142864,0.42857142857142866
0.5,corrupt_different_operation_matched_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,82304.0,0.7448242425918579,0.042857142857142864,0.42857142857142866
0.5,corrupt_different_operation_matched_strong,S01_surface_rotate,surface_control,0.1,246860.8,0.41725261211395265,0.042857142857142864,0.42857142857142866
0.5,corrupt_same_operation_unrelated_strong,A05_substitute,component,0.0,250112.0,0.06302083488553763,0.042857142857142864,0.42857142857142866
0.5,corrupt_same_operation_unrelated_strong,C06_reverse_then_substitute_01_05,composite,0.1,248422.4,0.400260429084301,0.042857142857142864,0.42857142857142866
0.5,corrupt_same_operation_unrelated_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.01585286511108277,0.042857142857142864,0.42857142857142866
0.5,corrupt_same_operation_unrelated_strong,A03_copy,different_operation_control,1.0,78950.4,0.7682617425918579,0.042857142857142864,0.42857142857142866
0.5,corrupt_same_operation_unrelated_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,79078.4,0.7673828303813934,0.042857142857142864,0.42857142857142866
0.5,corrupt_same_operation_unrelated_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.3972981870174408,0.042857142857142864,0.42857142857142866
0.5,delay_component_strong,A05_substitute,component,0.0,250112.0,0.06015625149011612,0.042857142857142864,0.42857142857142866
0.5,delay_component_strong,C06_reverse_then_substitute_01_05,composite,0.2,246732.8,0.429850272834301,0.042857142857142864,0.42857142857142866
0.5,delay_component_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02581380261108277,0.042857142857142864,0.42857142857142866
0.5,delay_component_strong,A03_copy,different_operation_control,1.0,75340.8,0.7401041924953461,0.042857142857142864,0.42857142857142866
0.5,delay_component_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,75340.8,0.7432291865348816,0.042857142857142864,0.42857142857142866
0.5,delay_component_strong,S01_surface_rotate,surface_control,0.2,245171.2,0.41383464336395265,0.042857142857142864,0.42857142857142866
0.5,delay_different_operation_matched_strong,A05_substitute,component,0.0,250112.0,0.0801432317122817,0.042857142857142864,0.42857142857142866
0.5,delay_different_operation_matched_strong,C06_reverse_then_substitute_01_05,composite,0.1,248422.4,0.4412760525941849,0.042857142857142864,0.42857142857142866
0.5,delay_different_operation_matched_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02428385447710752,0.042857142857142864,0.42857142857142866
0.5,delay_different_operation_matched_strong,A03_copy,different_operation_control,1.0,80640.0,0.7558593988418579,0.042857142857142864,0.42857142857142866
0.5,delay_different_operation_matched_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,80896.0,0.7567708492279053,0.042857142857142864,0.42857142857142866
0.5,delay_different_operation_matched_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.3834635496139526,0.042857142857142864,0.42857142857142866
0.5,delay_same_operation_unrelated_strong,A05_substitute,component,0.0,250112.0,0.09365234598517418,0.042857142857142864,0.42857142857142866
0.5,delay_same_operation_unrelated_strong,C06_reverse_then_substitute_01_05,composite,0.2,245171.2,0.4508789211511612,0.042857142857142864,0.42857142857142866
0.5,delay_same_operation_unrelated_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.024088542349636526,0.042857142857142864,0.42857142857142866
0.5,delay_same_operation_unrelated_strong,A03_copy,different_operation_control,1.0,76236.8,0.7452799677848816,0.042857142857142864,0.42857142857142866
0.5,delay_same_operation_unrelated_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,75110.4,0.7443359673023224,0.042857142857142864,0.42857142857142866
0.5,delay_same_operation_unrelated_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.3809895932674408,0.042857142857142864,0.42857142857142866
0.5,pretrain_component,A05_substitute,component,1.0,0.0,0.06598307378590107,0.042857142857142864,0.42857142857142866
0.5,pretrain_component,C06_reverse_then_substitute_01_05,composite,0.0,250112.0,0.3296875089406967,0.042857142857142864,0.42857142857142866
0.5,pretrain_component,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.025195313245058047,0.042857142857142864,0.42857142857142866
0.5,pretrain_component,A03_copy,different_operation_control,1.0,110028.8,0.7753580927848815,0.042857142857142864,0.42857142857142866
0.5,pretrain_component,K02_shortcut_for_A00_copy,fake_component_control,1.0,109132.8,0.7731119871139527,0.042857142857142864,0.42857142857142866
0.5,pretrain_component,S01_surface_rotate,surface_control,0.1,246860.8,0.4157552242279053,0.042857142857142864,0.42857142857142866
0.5,pretrain_different_operation_matched,A05_substitute,component,0.0,250112.0,0.05055338647216558,0.042857142857142864,0.42857142857142866
0.5,pretrain_different_operation_matched,C06_reverse_then_substitute_01_05,composite,0.3,240460.8,0.46419271528720857,0.042857142857142864,0.42857142857142866
0.5,pretrain_different_operation_matched,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02115885484963654,0.042857142857142864,0.42857142857142866
0.5,pretrain_different_operation_matched,A03_copy,different_operation_control,1.0,0.0,0.7821614742279053,0.042857142857142864,0.42857142857142866
0.5,pretrain_different_operation_matched,K02_shortcut_for_A00_copy,fake_component_control,1.0,0.0,0.7832356929779053,0.042857142857142864,0.42857142857142866
0.5,pretrain_different_operation_matched,S01_surface_rotate,surface_control,0.1,244019.2,0.37789714336395264,0.042857142857142864,0.42857142857142866
0.5,pretrain_same_operation_unrelated,A05_substitute,component,0.0,250112.0,0.06634114719927311,0.042857142857142864,0.42857142857142866
0.5,pretrain_same_operation_unrelated,C06_reverse_then_substitute_01_05,composite,0.1,248422.4,0.3446940198540688,0.042857142857142864,0.42857142857142866
0.5,pretrain_same_operation_unrelated,U01_unrelated_substitute,unrelated_control,1.0,0.0,0.025651042535901048,0.042857142857142864,0.42857142857142866
0.5,pretrain_same_operation_unrelated,A03_copy,different_operation_control,1.0,92083.2,0.7617187738418579,0.042857142857142864,0.42857142857142866
0.5,pretrain_same_operation_unrelated,K02_shortcut_for_A00_copy,fake_component_control,1.0,92339.2,0.7621419429779053,0.042857142857142864,0.42857142857142866
0.5,pretrain_same_operation_unrelated,S01_surface_rotate,surface_control,0.1,245401.6,0.3779296979308128,0.042857142857142864,0.42857142857142866
0.6,baseline,A05_substitute,component,0.0,250112.0,0.07779948338866234,0.014285714285714287,0.42857142857142866
0.6,baseline,C06_reverse_then_substitute_01_05,composite,0.1,248422.4,0.4183919385075569,0.014285714285714287,0.42857142857142866
0.6,baseline,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02454427145421504,0.014285714285714287,0.42857142857142866
0.6,baseline,A03_copy,different_operation_control,1.0,93900.8,0.7537109553813934,0.014285714285714287,0.42857142857142866
0.6,baseline,K02_shortcut_for_A00_copy,fake_component_control,1.0,94054.4,0.7550455927848816,0.014285714285714287,0.42857142857142866
0.6,baseline,S01_surface_rotate,surface_control,0.0,250112.0,0.3806966245174408,0.014285714285714287,0.42857142857142866
0.6,corrupt_component_strong,A05_substitute,component,0.0,250112.0,0.040039063710719344,0.014285714285714287,0.42857142857142866
0.6,corrupt_component_strong,C06_reverse_then_substitute_01_05,composite,0.0,250112.0,0.4097005307674408,0.014285714285714287,0.42857142857142866
0.6,corrupt_component_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.029329427424818262,0.014285714285714287,0.42857142857142866
0.6,corrupt_component_strong,A03_copy,different_operation_control,1.0,94028.8,0.7688476741313934,0.014285714285714287,0.42857142857142866
0.6,corrupt_component_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,93312.0,0.7660807549953461,0.014285714285714287,0.42857142857142866
0.6,corrupt_component_strong,S01_surface_rotate,surface_control,0.1,248422.4,0.4098307371139526,0.014285714285714287,0.42857142857142866
0.6,corrupt_different_operation_matched_strong,A05_substitute,component,0.0,250112.0,0.07242838889360427,0.014285714285714287,0.42857142857142866
0.6,corrupt_different_operation_matched_strong,C06_reverse_then_substitute_01_05,composite,0.1,248422.4,0.4141601651906967,0.014285714285714287,0.42857142857142866
0.6,corrupt_different_operation_matched_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.02545573003590106,0.014285714285714287,0.42857142857142866
0.6,corrupt_different_operation_matched_strong,A03_copy,different_operation_control,1.0,99174.4,0.7459635615348816,0.014285714285714287,0.42857142857142866
0.6,corrupt_different_operation_matched_strong,K02_shortcut_for_A00_copy,fake_component_control,1.0,98534.4,0.7448242425918579,0.014285714285714287,0.42857142857142866
0.6,corrupt_different_operation_matched_strong,S01_surface_rotate,surface_control,0.0,250112.0,0.41725261211395265,0.014285714285714287,0.42857142857142866
0.6,corrupt_same_operation_unrelated_strong,A05_substitute,component,0.0,250112.0,0.06302083488553763,0.014285714285714287,0.42857142857142866
0.6,corrupt_same_operation_unrelated_strong,C06_reverse_then_substitute_01_05,composite,0.0,250112.0,0.400260429084301,0.014285714285714287,0.42857142857142866
0.6,corrupt_same_operation_unrelated_strong,U01_unrelated_substitute,unrelated_control,0.0,250112.0,0.01585286511108277,0.014285714285714287,0.42857142857142866
