source_run_dir,source_model_name,model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_mrr,composite,10,0.5240885416666666,-0.0039062499999999,0.5258463541666666,-0.8268072185334424,-0.0129301636767047,-0.8404606389858067,0.5002474047395803,-0.2383862841364496,0.52068583114014,,,,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_correct_mrr,true_atomic_composite,26,0.5101161858974359,-0.0056089743589743,0.5140850360576923,-0.3906396531671507,-0.1390212253339745,-0.3371876708887447,0.347821574364423,0.1374345035047047,0.2922918918690743,-0.1561564136628282,0.1028783089150183,-0.1584387944151033,0.3479695269020146,0.0474585088430056,0.2846536523187183,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_correct,all,29,-2.3429147463356115,8.672269904311618,-5.483470343221942,-0.3550873646003485,-0.3221538782043608,-0.3751446006761004,0.3827255622191781,0.3431161896738556,0.3208359176171118,-0.0306697798332646,0.0033788740494274,-0.2144285454444352,0.0953820966476532,0.0867109969524119,0.2688040905524771,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_correct,atomic,16,-2.382214728917461,8.627209519792814,-5.537891143161687,-0.5650988151098426,-0.4963301762340417,-0.2197606503204943,0.5920115885931043,0.5638205605648613,0.1958534578804255,0.3101496581612115,0.4048751695207934,0.2597312408246598,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_correct,composite,10,-2.3035455549135806,8.72534149494022,-5.407827296014875,-0.3814398284627892,-0.3814398284627892,-0.3814398284627892,0.4579525984726532,0.4579525984726532,0.4516792752059046,,,,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_correct,true_atomic_composite,26,-2.351957354300584,8.6649525871572,-5.487866586566759,-0.3863737388587264,-0.3471165140548986,-0.3781090599526573,0.4217074990071887,0.3921742376760663,0.3746603268866798,0.0099451296844565,0.0522119308433971,-0.1807882503353002,0.1264911064067351,0.1159501808728405,0.3056868404829433,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_margin,all,29,1.109940643839795,0.9132015051255966,0.878671387194431,0.0948385360125059,0.1369339697517383,0.3352777487230627,-0.2435976411537329,-0.2715717605138669,-0.4688759475052544,-0.0974675206565614,-0.1393135761917785,0.0116961024787873,-0.0433554984762059,-0.0693687975619296,-0.2948173896382008,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_margin,atomic,16,1.1037878267816268,0.9054661089903676,0.911600149134756,0.1450121298033194,0.2167707094998073,0.2989940820686998,-0.3887394391262991,-0.4525401867691649,-0.4421540185482334,-0.1268099587555692,-0.30403833484769,-0.4201534778045969,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_margin,composite,10,1.0795465742237866,0.8662027199752629,0.8102132797474042,0.4396255650079604,0.5430668744215982,0.4202303194929033,-0.2572062539366956,-0.2258396376029523,-0.5144125078733913,,,,,,,,,
results/pythia_model_sweep_v31_410m/pythia-410m_n64,EleutherAI/pythia-410m,EleutherAI/pythia-410m,mean_logprob_margin,true_atomic_composite,26,1.0944642681055343,0.8903648055230196,0.8726051993703899,0.1250032684542938,0.1976635705034839,0.3736323588785366,-0.1806336681415156,-0.2235599200762864,-0.4467764301370948,-0.040490885143859,-0.0667744421670657,0.0554085796705439,0.0,-0.0527046276694729,-0.2635231383473649,,,
