model,fold,mse,n_train,n_test,features,complexity,true_mechanism,replicate
three_factor,3,0.10637997467093192,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,2
three_factor,4,0.04013420808756073,10,2,"log_frequency,reference_learnability,formal_utility",3,learnability_only,2
frequency_only,0,0.491931926063647,9,3,log_frequency,1,three_factor,0
frequency_only,1,0.06394829177671545,9,3,log_frequency,1,three_factor,0
frequency_only,2,0.006159355011610565,10,2,log_frequency,1,three_factor,0
frequency_only,3,0.5434187305115505,10,2,log_frequency,1,three_factor,0
frequency_only,4,0.26071178256434885,10,2,log_frequency,1,three_factor,0
learnability_only,0,0.027464760413050734,9,3,reference_learnability,1,three_factor,0
learnability_only,1,0.5737877041664264,9,3,reference_learnability,1,three_factor,0
learnability_only,2,0.33237074670359046,10,2,reference_learnability,1,three_factor,0
learnability_only,3,0.2361150682459865,10,2,reference_learnability,1,three_factor,0
learnability_only,4,0.06206412530380598,10,2,reference_learnability,1,three_factor,0
freq_learn,0,0.10400136932835104,9,3,"log_frequency,reference_learnability",2,three_factor,0
freq_learn,1,0.12650239266574884,9,3,"log_frequency,reference_learnability",2,three_factor,0
freq_learn,2,0.12182594120396142,10,2,"log_frequency,reference_learnability",2,three_factor,0
freq_learn,3,0.1821889031832822,10,2,"log_frequency,reference_learnability",2,three_factor,0
freq_learn,4,0.2124519676899253,10,2,"log_frequency,reference_learnability",2,three_factor,0
three_factor,0,0.0633366822600815,9,3,"log_frequency,reference_learnability,formal_utility",3,three_factor,0
three_factor,1,0.04542565409103833,9,3,"log_frequency,reference_learnability,formal_utility",3,three_factor,0
three_factor,2,0.004235512253827865,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,0
three_factor,3,0.026939018115251588,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,0
three_factor,4,0.060998065492544135,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,0
frequency_only,0,0.15567596041781365,9,3,log_frequency,1,three_factor,1
frequency_only,1,0.29544572490208215,9,3,log_frequency,1,three_factor,1
frequency_only,2,0.9789797627608099,10,2,log_frequency,1,three_factor,1
frequency_only,3,0.15936450201998303,10,2,log_frequency,1,three_factor,1
frequency_only,4,0.3106516089909095,10,2,log_frequency,1,three_factor,1
learnability_only,0,0.5794069360834976,9,3,reference_learnability,1,three_factor,1
learnability_only,1,0.06524951633529177,9,3,reference_learnability,1,three_factor,1
learnability_only,2,0.13348432758045206,10,2,reference_learnability,1,three_factor,1
learnability_only,3,0.08265514121314566,10,2,reference_learnability,1,three_factor,1
learnability_only,4,0.674683299342131,10,2,reference_learnability,1,three_factor,1
freq_learn,0,0.019176888690425168,9,3,"log_frequency,reference_learnability",2,three_factor,1
freq_learn,1,0.3572234266246663,9,3,"log_frequency,reference_learnability",2,three_factor,1
freq_learn,2,0.15562807110864535,10,2,"log_frequency,reference_learnability",2,three_factor,1
freq_learn,3,0.017101488798195667,10,2,"log_frequency,reference_learnability",2,three_factor,1
freq_learn,4,0.16213408564511703,10,2,"log_frequency,reference_learnability",2,three_factor,1
three_factor,0,0.009120098063535954,9,3,"log_frequency,reference_learnability,formal_utility",3,three_factor,1
three_factor,1,0.197815146932071,9,3,"log_frequency,reference_learnability,formal_utility",3,three_factor,1
three_factor,2,0.03243530725497831,10,2,"log_frequency,reference_learnability,formal_utility",3,three_factor,1
