model,mean_mse,se_mse,complexity,features,selected_by_parsimony,best_mean_mse,selection_threshold,true_mechanism,replicate
freq_learn,0.04152824203021294,0.00392485577825582,2,"log_frequency,reference_learnability",False,0.03280938054446163,0.04166159276259696,learnability_only,0
frequency_only,0.31398682336581174,0.09167891605804665,1,log_frequency,False,0.03280938054446163,0.04166159276259696,learnability_only,0
freq_learn,0.03193276977952792,0.005791054078087068,2,"log_frequency,reference_learnability",True,0.03193276977952792,0.03772382385761499,learnability_only,1
three_factor,0.0353365544649146,0.005904315509097352,3,"log_frequency,reference_learnability,formal_utility",False,0.03193276977952792,0.03772382385761499,learnability_only,1
learnability_only,0.068758542917738,0.022412591806783688,1,reference_learnability,False,0.03193276977952792,0.03772382385761499,learnability_only,1
frequency_only,0.48386418546708754,0.1593957510835617,1,log_frequency,False,0.03193276977952792,0.03772382385761499,learnability_only,1
learnability_only,0.05755409931724039,0.01131786377584774,1,reference_learnability,True,0.05755409931724039,0.06887196309308813,learnability_only,2
freq_learn,0.07298068972789606,0.012186512314631132,2,"log_frequency,reference_learnability",False,0.05755409931724039,0.06887196309308813,learnability_only,2
three_factor,0.08594999127976258,0.013769403387267926,3,"log_frequency,reference_learnability,formal_utility",False,0.05755409931724039,0.06887196309308813,learnability_only,2
frequency_only,0.3757728516413101,0.15421188076417425,1,log_frequency,False,0.05755409931724039,0.06887196309308813,learnability_only,2
three_factor,0.040186986442548686,0.011100608603910225,3,"log_frequency,reference_learnability,formal_utility",True,0.040186986442548686,0.05128759504645891,three_factor,0
freq_learn,0.14939411481425374,0.020489420971978093,2,"log_frequency,reference_learnability",False,0.040186986442548686,0.05128759504645891,three_factor,0
learnability_only,0.24636048096657198,0.09914428979360258,1,reference_learnability,False,0.040186986442548686,0.05128759504645891,three_factor,0
frequency_only,0.2732340171855745,0.10865421093032701,1,log_frequency,False,0.040186986442548686,0.05128759504645891,three_factor,0
three_factor,0.07357236122249074,0.0335517362378197,3,"log_frequency,reference_learnability,formal_utility",True,0.07357236122249074,0.10712409746031043,three_factor,1
freq_learn,0.1422527921734099,0.062288467772031064,2,"log_frequency,reference_learnability",False,0.07357236122249074,0.10712409746031043,three_factor,1
learnability_only,0.3070958441109036,0.13196175622173031,1,reference_learnability,False,0.07357236122249074,0.10712409746031043,three_factor,1
frequency_only,0.3800235118183196,0.15325414772677645,1,log_frequency,False,0.07357236122249074,0.10712409746031043,three_factor,1
three_factor,0.03473672805879957,0.0075842791742690005,3,"log_frequency,reference_learnability,formal_utility",True,0.03473672805879957,0.04232100723306857,three_factor,2
freq_learn,0.15319539691603168,0.020982180657232365,2,"log_frequency,reference_learnability",False,0.03473672805879957,0.04232100723306857,three_factor,2
frequency_only,0.30580299048741805,0.09532116981129304,1,log_frequency,False,0.03473672805879957,0.04232100723306857,three_factor,2
learnability_only,0.3112425840557756,0.15965731117904403,1,reference_learnability,False,0.03473672805879957,0.04232100723306857,three_factor,2
learnability_only,0.6484944992578636,0.2650805242775739,1,reference_learnability,True,0.6484944992578636,0.9135750235354375,dependency_gated,0
three_factor,0.7352064326440335,0.31907897016446823,3,"log_frequency,reference_learnability,formal_utility",False,0.6484944992578636,0.9135750235354375,dependency_gated,0
freq_learn,0.7613434452061422,0.3428415505621422,2,"log_frequency,reference_learnability",False,0.6484944992578636,0.9135750235354375,dependency_gated,0
frequency_only,0.8923029656029146,0.37513775550585643,1,log_frequency,False,0.6484944992578636,0.9135750235354375,dependency_gated,0
learnability_only,0.8827090572507192,0.23701977303639085,1,reference_learnability,True,0.8827090572507192,1.11972883028711,dependency_gated,1
three_factor,1.7392780270043275,0.9179653103439656,3,"log_frequency,reference_learnability,formal_utility",False,0.8827090572507192,1.11972883028711,dependency_gated,1
freq_learn,1.8132194547395581,0.846407970877433,2,"log_frequency,reference_learnability",False,0.8827090572507192,1.11972883028711,dependency_gated,1
frequency_only,2.0966654289869906,1.0731909118643197,1,log_frequency,False,0.8827090572507192,1.11972883028711,dependency_gated,1
learnability_only,0.5689281612970113,0.20071206028300304,1,reference_learnability,True,0.5689281612970113,0.7696402215800143,dependency_gated,2
three_factor,0.8728404390263016,0.43758917797776903,3,"log_frequency,reference_learnability,formal_utility",False,0.5689281612970113,0.7696402215800143,dependency_gated,2
freq_learn,0.9935146834715922,0.40582035249980064,2,"log_frequency,reference_learnability",False,0.5689281612970113,0.7696402215800143,dependency_gated,2
frequency_only,1.2402320724323332,0.5136618664458273,1,log_frequency,False,0.5689281612970113,0.7696402215800143,dependency_gated,2
