scope,x,y,spearman,n
kind=surface_control,reference_learnability,copy_fraction,,3
kind=surface_control,reference_learnability,n_components,,3
kind=surface_control,reference_learnability,mean_final_metric,,3
kind=surface_control,reference_learnability,mean_censored_acquired_at,,3
kind=surface_control,reference_learnability,acquisition_rate,,3
kind=unrelated,reference_learnability,frequency,,3
kind=unrelated,reference_learnability,formal_utility,,3
kind=unrelated,reference_learnability,composition_depth,,3
kind=unrelated,reference_learnability,output_entropy,,3
kind=unrelated,reference_learnability,positionwise_entropy_mean,,3
kind=unrelated,reference_learnability,random_baseline_token_accuracy,,3
kind=unrelated,reference_learnability,copy_fraction,,3
kind=unrelated,reference_learnability,n_components,,3
kind=unrelated,reference_learnability,mean_final_metric,,3
kind=unrelated,reference_learnability,mean_censored_acquired_at,,3
kind=unrelated,reference_learnability,acquisition_rate,,3
op=copy,reference_learnability,frequency,,3
op=copy,reference_learnability,formal_utility,,3
op=copy,reference_learnability,composition_depth,,3
op=copy,reference_learnability,output_entropy,,3
op=copy,reference_learnability,positionwise_entropy_mean,,3
op=copy,reference_learnability,random_baseline_token_accuracy,,3
op=copy,reference_learnability,copy_fraction,,3
op=copy,reference_learnability,n_components,,3
op=copy,reference_learnability,mean_final_metric,,3
op=copy,reference_learnability,mean_censored_acquired_at,,3
op=copy,reference_learnability,acquisition_rate,,3
op=reverse,reference_learnability,frequency,,3
op=reverse,reference_learnability,formal_utility,,3
op=reverse,reference_learnability,composition_depth,,3
op=reverse,reference_learnability,output_entropy,,3
op=reverse,reference_learnability,positionwise_entropy_mean,,3
op=reverse,reference_learnability,random_baseline_token_accuracy,,3
op=reverse,reference_learnability,copy_fraction,,3
op=reverse,reference_learnability,n_components,,3
op=reverse,reference_learnability,mean_final_metric,,3
op=reverse,reference_learnability,mean_censored_acquired_at,,3
op=reverse,reference_learnability,acquisition_rate,,3
op=reverse_then_substitute,reference_learnability,frequency,,3
op=reverse_then_substitute,reference_learnability,formal_utility,,3
op=reverse_then_substitute,reference_learnability,composition_depth,,3
op=reverse_then_substitute,reference_learnability,output_entropy,,3
op=reverse_then_substitute,reference_learnability,positionwise_entropy_mean,,3
op=reverse_then_substitute,reference_learnability,random_baseline_token_accuracy,,3
op=reverse_then_substitute,reference_learnability,copy_fraction,,3
op=reverse_then_substitute,reference_learnability,n_components,,3
op=reverse_then_substitute,reference_learnability,mean_final_metric,,3
op=reverse_then_substitute,reference_learnability,mean_censored_acquired_at,,3
op=reverse_then_substitute,reference_learnability,acquisition_rate,,3
op=shortcut_identity,reference_learnability,frequency,,3
op=shortcut_identity,reference_learnability,formal_utility,,3
op=shortcut_identity,reference_learnability,composition_depth,,3
op=shortcut_identity,reference_learnability,output_entropy,,3
op=shortcut_identity,reference_learnability,positionwise_entropy_mean,,3
op=shortcut_identity,reference_learnability,random_baseline_token_accuracy,,3
op=shortcut_identity,reference_learnability,copy_fraction,,3
op=shortcut_identity,reference_learnability,n_components,,3
op=shortcut_identity,reference_learnability,mean_final_metric,,3
op=shortcut_identity,reference_learnability,mean_censored_acquired_at,,3
op=shortcut_identity,reference_learnability,acquisition_rate,,3
op=substitute,reference_learnability,frequency,,5
op=substitute,reference_learnability,formal_utility,,5
op=substitute,reference_learnability,composition_depth,,5
op=substitute,reference_learnability,output_entropy,,5
op=substitute,reference_learnability,positionwise_entropy_mean,,5
op=substitute,reference_learnability,random_baseline_token_accuracy,,5
op=substitute,reference_learnability,copy_fraction,,5
op=substitute,reference_learnability,n_components,,5
op=substitute,reference_learnability,mean_final_metric,,5
op=substitute,reference_learnability,mean_censored_acquired_at,,5
op=substitute,reference_learnability,acquisition_rate,,5
op=substitute_then_reverse,reference_learnability,frequency,,3
op=substitute_then_reverse,reference_learnability,formal_utility,,3
op=substitute_then_reverse,reference_learnability,composition_depth,,3
op=substitute_then_reverse,reference_learnability,output_entropy,,3
op=substitute_then_reverse,reference_learnability,positionwise_entropy_mean,,3
op=substitute_then_reverse,reference_learnability,random_baseline_token_accuracy,,3
op=substitute_then_reverse,reference_learnability,copy_fraction,,3
op=substitute_then_reverse,reference_learnability,n_components,,3
op=substitute_then_reverse,reference_learnability,mean_final_metric,,3
op=substitute_then_reverse,reference_learnability,mean_censored_acquired_at,,3
op=substitute_then_reverse,reference_learnability,acquisition_rate,,3
op=surface_rotate,reference_learnability,frequency,,3
op=surface_rotate,reference_learnability,formal_utility,,3
op=surface_rotate,reference_learnability,composition_depth,,3
op=surface_rotate,reference_learnability,output_entropy,,3
op=surface_rotate,reference_learnability,positionwise_entropy_mean,,3
op=surface_rotate,reference_learnability,random_baseline_token_accuracy,,3
op=surface_rotate,reference_learnability,copy_fraction,,3
op=surface_rotate,reference_learnability,n_components,,3
op=surface_rotate,reference_learnability,mean_final_metric,,3
op=surface_rotate,reference_learnability,mean_censored_acquired_at,,3
op=surface_rotate,reference_learnability,acquisition_rate,,3
