row_id,condition,task_name,role,acquisition_rate,mean_censored_acquired_at,mean_final_metric,mean_censored_expected_direction_rate,mean_final_expected_direction_rate,component,composite,unrelated_control,fake_component_control,surface_control,same_operation_control,different_operation_control
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_same_operation_unrelated,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.1694010481238365,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_same_operation_unrelated,A07_reverse,different_operation_control,1.0,63155.2,0.8378906428813935,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_same_operation_unrelated,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14131.2,0.961523461341858,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,corrupt_same_operation_unrelated,S00_surface_rotate,surface_control,0.0,250112.0,0.4222005307674408,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_component,A02_substitute,component,0.4,222284.8,0.7111979305744172,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_component,C06_reverse_then_substitute_02_00,composite,0.5,219315.2,0.7141276240348816,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_component,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.2144856840372085,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_component,A07_reverse,different_operation_control,1.0,61337.6,0.8442057490348815,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_component,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14028.8,0.957617211341858,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_component,S00_surface_rotate,surface_control,0.0,250112.0,0.3884765714406967,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_different_operation_matched,A02_substitute,component,0.5,220595.2,0.7231445550918579,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_different_operation_matched,C06_reverse_then_substitute_02_00,composite,0.5,219315.2,0.724414074420929,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.2528645869344473,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_different_operation_matched,A07_reverse,different_operation_control,1.0,65766.4,0.844433605670929,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_different_operation_matched,K01_shortcut_for_A07_reverse,fake_component_control,1.0,13952.0,0.9585612177848816,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_different_operation_matched,S00_surface_rotate,surface_control,0.0,250112.0,0.398470064997673,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_same_operation_unrelated,A02_substitute,component,0.6,210201.6,0.7237955868244171,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_same_operation_unrelated,C06_reverse_then_substitute_02_00,composite,0.6,210201.6,0.7254231810569763,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_same_operation_unrelated,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.2429036505520344,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_same_operation_unrelated,A07_reverse,different_operation_control,1.0,62182.4,0.8417968928813935,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_same_operation_unrelated,K01_shortcut_for_A07_reverse,fake_component_control,1.0,13952.0,0.9563476741313934,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,delay_same_operation_unrelated,S00_surface_rotate,surface_control,0.0,250112.0,0.4000000119209289,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_component,A02_substitute,component,0.9,185267.2,0.7547200620174408,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_component,C06_reverse_then_substitute_02_00,composite,0.9,180147.2,0.7554687678813934,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_component,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.2405599012970924,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_component,A07_reverse,different_operation_control,1.0,64870.4,0.84306640625,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_component,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14208.0,0.9562174677848816,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_component,S00_surface_rotate,surface_control,0.0,250112.0,0.3837890714406967,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_different_operation_matched,A02_substitute,component,0.6,215603.2,0.7149739861488342,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_different_operation_matched,C06_reverse_then_substitute_02_00,composite,0.6,215705.6,0.7163411617279053,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_different_operation_matched,U00_unrelated_substitute,unrelated_control,0.0,250112.0,0.2218750096857547,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_different_operation_matched,A07_reverse,different_operation_control,1.0,62284.8,0.8431640923023224,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_different_operation_matched,K01_shortcut_for_A07_reverse,fake_component_control,1.0,14489.6,0.9557291984558104,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_different_operation_matched,S00_surface_rotate,surface_control,0.0,250112.0,0.398567721247673,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_fake_component,A02_substitute,component,0.5,219033.6,0.7237955868244171,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
row0_A02_substitute_to_C06_reverse_then_substitute_02_00,upweight_fake_component,C06_reverse_then_substitute_02_00,composite,0.5,220492.8,0.724772161245346,0.5444444444444445,0.7555555555555555,A02_substitute,C06_reverse_then_substitute_02_00,U00_unrelated_substitute,K01_shortcut_for_A07_reverse,S00_surface_rotate,U00_unrelated_substitute,A07_reverse
