source_run_dir,source_model_name,model_name,metric,group,n,mean_final,mean_delta,mean_auc,rho_frequency_proxy_final,rho_frequency_proxy_delta,rho_frequency_proxy_auc,rho_reference_learnability_final,rho_reference_learnability_delta,rho_reference_learnability_auc,rho_formal_utility_final,rho_formal_utility_delta,rho_formal_utility_auc,rho_composition_depth_final,rho_composition_depth_delta,rho_composition_depth_auc,rho_answer_entropy_proxy_final,rho_answer_entropy_proxy_delta,rho_answer_entropy_proxy_auc
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_mrr,all,29,0.5156249999999999,-0.0138290229885057,0.5231082375478927,0.0261497068999794,0.0339239671898519,0.0376568248981484,0.0147442689515508,-0.0948149355303655,0.0712081778566432,0.2268681002845022,0.0548417249560919,0.3523562585907458,-0.0390584488339339,0.0260132990857236,-0.112779866313159,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_mrr,atomic,16,0.5270182291666666,-0.0097656249999999,0.5355902777777778,-0.0082344556676759,0.2945091708376693,-0.2610643663229609,0.0074296255519098,-0.2581704672060154,0.2836026266652016,0.2998961909327216,0.2627869024814206,0.3929415568106177,,,,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_mrr,composite,10,0.5083333333333333,-0.015625,0.5151041666666667,-0.567416718601382,-0.3685096647860845,-0.5753922836133599,0.2988899588066674,0.1505597584019682,0.3701260727381718,,,,,,,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_correct_mrr,true_atomic_composite,26,0.5198317307692307,-0.0120192307692307,0.5277110042735041,-0.0122394918671772,0.0485549885731554,-0.0056848828203484,-0.0312877721942648,-0.0745199733587621,-0.0118537259272807,0.1874059287253327,0.071747007009294,0.324448690982424,-0.0897052709758456,0.0210818510677891,-0.2003803706704681,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_correct,all,29,-2.3671987368885814,8.683763191232394,-5.49867131548195,-0.3085347672887268,-0.3253729407844198,-0.0255048804420055,0.2054736200788601,0.2861777166399546,-0.0618896446020663,-0.2224858604853776,-0.2087104508992502,-0.0363878743784496,0.2601329908572359,0.3555150875048892,-0.0346843987809648,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_correct,atomic,16,-2.4248538312967867,8.604270298266783,-5.493467421581348,-0.3259035494548828,-0.2212556207308378,-0.1106278103654189,0.2507517756196357,0.1632112149003546,-0.0252235513936911,0.1069481579866246,0.0916698497028211,-0.2490364250259974,,,,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_correct,composite,10,-2.2963093139231203,8.806864418834447,-5.502643427128593,0.4590208105230174,0.4913462197147793,-0.3103239282409132,-0.4203126588721612,-0.4014926890719151,-0.2446596074031982,,,,,,,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_correct,true_atomic_composite,26,-2.3754136323069157,8.682191113869731,-5.496996654484135,-0.326454816789726,-0.3230112005788639,-0.0234165902338622,0.2850303128468783,0.3066651438220028,-0.1057702847672753,-0.2017440593132624,-0.2170169370429636,-0.0500808316252993,0.3162277660168379,0.3689323936863108,-0.0632455532033675,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_margin,all,29,0.8021880484603602,0.5795452855527401,0.8130141475248611,0.4680021751008778,0.4291258039417043,0.3018490219301428,-0.3807450935919119,-0.3666342546226408,-0.3215785933523366,0.3854515550231484,0.3563412555203887,0.2297634353610675,-0.3555150875048892,-0.3208306887239244,-0.3381728881144067,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_margin,atomic,16,0.9167957960162312,0.7071995718870312,0.8722463326218227,0.4843704129512938,0.5411792885443467,0.0642837276447704,-0.4688613082592004,-0.4599588783555448,-0.1721136448040103,-0.0366679398811284,0.0580575714784533,-0.1497274211812745,,,,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_margin,composite,10,0.6680601082742215,0.4264918588101863,0.7136855038503807,-0.4978113015531316,-0.5689272017750076,-0.2262778643423326,0.269752900470193,0.1819263747357115,0.0940998490012301,,,,,,,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1b_n16,EleutherAI/pythia-1b,EleutherAI/pythia-1b,mean_logprob_margin,true_atomic_composite,26,0.8211282238077658,0.5992350668574755,0.8112613984789605,0.4883047787002442,0.4638551036031234,0.2834096141539499,-0.4927933722111691,-0.4646337509419595,-0.3214317744875639,0.3555383862193234,0.3548280198132907,0.2248309675093223,-0.4532597979574676,-0.4005551702879947,-0.3478505426185217,,,
results/pythia_model_sweep_v31_mid_smoke/pythia-1.4b_n16,EleutherAI/pythia-1.4b,EleutherAI/pythia-1.4b,accuracy,all,29,0.2672413793103448,-0.0021551724137931,0.2622126436781609,0.1083168089863434,0.0617329096994844,0.1556654928884495,-0.1992886715315245,-0.1201602863997652,-0.1378765554286646,0.1889603473449253,0.1490346208564419,0.2990955203866779,-0.2343001416382909,-0.0705876562604147,-0.2189178207207925,,,
