condition,seed,task_name,kind,acquired_at,threshold,patience,metric,final_metric,final_accuracy,final_balanced_accuracy,candidate_seed,metric_family,analysis_threshold
baseline,0,U00_unrelated_substitute,unrelated,,0.3,2,exact_match,0.0,0.0,0.0,8,exact_match,0.3
baseline,0,U01_unrelated_substitute,unrelated,,0.3,2,exact_match,0.001953125,0.001953125,0.001953125,8,exact_match,0.3
baseline,0,U02_unrelated_substitute,unrelated,,0.3,2,exact_match,0.0,0.0,0.0,8,exact_match,0.3
baseline,1,A00_copy,atomic,15872.0,0.3,2,exact_match,0.861328125,0.861328125,0.861328125,8,exact_match,0.3
baseline,1,A01_reverse,atomic,,0.3,2,exact_match,0.06640625,0.06640625,0.06640625,8,exact_match,0.3
baseline,1,A02_substitute,atomic,,0.3,2,exact_match,0.005859375,0.005859375,0.005859375,8,exact_match,0.3
baseline,1,A03_copy,atomic,15872.0,0.3,2,exact_match,0.853515625,0.853515625,0.853515625,8,exact_match,0.3
baseline,1,A04_reverse,atomic,,0.3,2,exact_match,0.087890625,0.087890625,0.087890625,8,exact_match,0.3
baseline,1,A05_substitute,atomic,,0.3,2,exact_match,0.015625,0.015625,0.015625,8,exact_match,0.3
baseline,1,A06_copy,atomic,15872.0,0.3,2,exact_match,0.857421875,0.857421875,0.857421875,8,exact_match,0.3
baseline,1,A07_reverse,atomic,,0.3,2,exact_match,0.08984375,0.08984375,0.08984375,8,exact_match,0.3
baseline,1,C00_reverse_then_substitute_06_04,composite,,0.3,2,exact_match,0.091796875,0.091796875,0.091796875,8,exact_match,0.3
baseline,1,C01_substitute_then_reverse_03_04,composite,,0.3,2,exact_match,0.0625,0.0625,0.0625,8,exact_match,0.3
baseline,1,C02_copy_then_substitute_00_07,composite,,0.3,2,exact_match,0.10546875,0.10546875,0.10546875,8,exact_match,0.3
baseline,1,C03_reverse_then_substitute_06_01,composite,,0.3,2,exact_match,0.1015625,0.1015625,0.1015625,8,exact_match,0.3
baseline,1,C04_substitute_then_reverse_07_01,composite,15872.0,0.3,2,exact_match,0.86328125,0.86328125,0.86328125,8,exact_match,0.3
baseline,1,C05_copy_then_substitute_06_07,composite,,0.3,2,exact_match,0.095703125,0.095703125,0.095703125,8,exact_match,0.3
baseline,1,C06_reverse_then_substitute_02_00,composite,,0.3,2,exact_match,0.0,0.0,0.0,8,exact_match,0.3
baseline,1,C07_substitute_then_reverse_04_03,composite,,0.3,2,exact_match,0.09375,0.09375,0.09375,8,exact_match,0.3
baseline,1,K00_shortcut_for_A00_copy,shortcut,15872.0,0.3,2,exact_match,0.861328125,0.861328125,0.861328125,8,exact_match,0.3
