condition,seed,data_seen,task_i,task_j,linear_cka
baseline,0,512,A03_and_bits_23_25,S00_surface_xor_12_45,0.9809573888778687
baseline,0,512,A03_and_bits_23_25,S01_surface_xor_25_7,0.9826286435127258
baseline,0,512,A03_and_bits_23_25,S02_surface_xor_35_38,0.9833155870437622
baseline,0,512,A03_and_bits_23_25,S03_surface_xor_28_44,0.986789345741272
baseline,0,512,A03_and_bits_23_25,U00_xor2_35_7,0.9896597266197205
baseline,0,512,A03_and_bits_23_25,U01_eq2_3_23,0.9875807762145996
baseline,0,512,A03_and_bits_23_25,U02_and_bits_10_16,0.9842326045036316
baseline,0,512,A03_and_bits_23_25,U03_xor2_36_26,0.9870186448097229
baseline,0,512,A04_not_bit_0,A00_not_bit_26,0.9872494339942932
baseline,0,512,A04_not_bit_0,A01_xor2_40_1,0.9863290786743164
baseline,0,512,A04_not_bit_0,A02_bit_1,0.9869359135627747
baseline,0,512,A04_not_bit_0,A03_and_bits_23_25,0.9799691438674927
baseline,0,512,A04_not_bit_0,A04_not_bit_0,1.0
baseline,0,512,A04_not_bit_0,A05_and_bits_5_25,0.9869840741157532
baseline,0,512,A04_not_bit_0,A06_and_bits_18_35,0.9912196397781372
baseline,0,512,A04_not_bit_0,A07_and_bits_46_18,0.9862747192382812
baseline,0,512,A04_not_bit_0,A08_not_bit_40,0.9871388077735901
baseline,0,512,A04_not_bit_0,A09_xor2_42_32,0.9737502336502075
baseline,0,512,A04_not_bit_0,A10_xor2_25_39,0.9884255528450012
baseline,0,512,A04_not_bit_0,A11_xor2_14_34,0.9774625301361084
baseline,0,512,A04_not_bit_0,C00_or_04_01,0.9718253016471863
baseline,0,512,A04_not_bit_0,C01_or_09_02,0.9881697297096252
baseline,0,512,A04_not_bit_0,C02_and_05_09,0.9799531102180481
baseline,0,512,A04_not_bit_0,C03_and_04_05,0.9830123782157898
baseline,0,512,A04_not_bit_0,C04_or_09_04,0.9801058769226074
baseline,0,512,A04_not_bit_0,C05_or_04_07,0.9752602577209473
baseline,0,512,A04_not_bit_0,C06_and_05_09,0.9874911308288574
baseline,0,512,A04_not_bit_0,C07_and_09_00,0.9726496338844299
baseline,0,512,A04_not_bit_0,K00_shortcut_for_10_bit39,0.9834242463111877
baseline,0,512,A04_not_bit_0,K01_shortcut_for_09_bit45,0.9883583188056946
baseline,0,512,A04_not_bit_0,K02_shortcut_for_07_bit11,0.9822617769241333
baseline,0,512,A04_not_bit_0,K03_shortcut_for_07_bit23,0.9866366386413574
baseline,0,512,A04_not_bit_0,S00_surface_xor_12_45,0.9872716665267944
baseline,0,512,A04_not_bit_0,S01_surface_xor_25_7,0.9836170077323914
baseline,0,512,A04_not_bit_0,S02_surface_xor_35_38,0.9867842197418213
baseline,0,512,A04_not_bit_0,S03_surface_xor_28_44,0.977850079536438
baseline,0,512,A04_not_bit_0,U00_xor2_35_7,0.9797088503837585
baseline,0,512,A04_not_bit_0,U01_eq2_3_23,0.988615095615387
baseline,0,512,A04_not_bit_0,U02_and_bits_10_16,0.988530158996582
baseline,0,512,A04_not_bit_0,U03_xor2_36_26,0.9873570799827576
baseline,0,512,A05_and_bits_5_25,A00_not_bit_26,0.9867173433303833
baseline,0,512,A05_and_bits_5_25,A01_xor2_40_1,0.9896224141120911
baseline,0,512,A05_and_bits_5_25,A02_bit_1,0.9899827837944031
baseline,0,512,A05_and_bits_5_25,A03_and_bits_23_25,0.9810030460357666
baseline,0,512,A05_and_bits_5_25,A04_not_bit_0,0.9869840145111084
baseline,0,512,A05_and_bits_5_25,A05_and_bits_5_25,1.0
baseline,0,512,A05_and_bits_5_25,A06_and_bits_18_35,0.9887860417366028
baseline,0,512,A05_and_bits_5_25,A07_and_bits_46_18,0.9800167083740234
baseline,0,512,A05_and_bits_5_25,A08_not_bit_40,0.9817253947257996
baseline,0,512,A05_and_bits_5_25,A09_xor2_42_32,0.9730890989303589
baseline,0,512,A05_and_bits_5_25,A10_xor2_25_39,0.9850783348083496
baseline,0,512,A05_and_bits_5_25,A11_xor2_14_34,0.9766074419021606
baseline,0,512,A05_and_bits_5_25,C00_or_04_01,0.9731203317642212
baseline,0,512,A05_and_bits_5_25,C01_or_09_02,0.990426778793335
baseline,0,512,A05_and_bits_5_25,C02_and_05_09,0.9791661500930786
baseline,0,512,A05_and_bits_5_25,C03_and_04_05,0.9837543964385986
baseline,0,512,A05_and_bits_5_25,C04_or_09_04,0.9735842943191528
baseline,0,512,A05_and_bits_5_25,C05_or_04_07,0.9781962037086487
baseline,0,512,A05_and_bits_5_25,C06_and_05_09,0.9827532172203064
baseline,0,512,A05_and_bits_5_25,C07_and_09_00,0.9761660099029541
baseline,0,512,A05_and_bits_5_25,K00_shortcut_for_10_bit39,0.9821885228157043
baseline,0,512,A05_and_bits_5_25,K01_shortcut_for_09_bit45,0.9781326055526733
baseline,0,512,A05_and_bits_5_25,K02_shortcut_for_07_bit11,0.9836329817771912
baseline,0,512,A05_and_bits_5_25,K03_shortcut_for_07_bit23,0.9846503734588623
baseline,0,512,A05_and_bits_5_25,S00_surface_xor_12_45,0.9856446981430054
