condition,seed,target_task,source_role,source_task,grad_cosine,linear_cka
upweight_unrelated_matched,0,C03_and_04_05,control,K01_shortcut_for_09_bit45,-0.7667500259736362,0.9890120625495912
upweight_unrelated_matched,0,C03_and_04_05,control,S00_surface_xor_12_45,-0.3533647249828396,0.979706645011902
upweight_unrelated_matched,0,C06_and_05_09,component,A05_and_bits_5_25,0.6796470365380355,0.9786254167556764
upweight_unrelated_matched,0,C06_and_05_09,control,U02_and_bits_10_16,-0.8011349151066252,0.9871386289596558
upweight_unrelated_matched,0,C06_and_05_09,control,K01_shortcut_for_09_bit45,-0.7558951126973548,0.9895200133323668
upweight_unrelated_matched,0,C06_and_05_09,control,S00_surface_xor_12_45,-0.3929423436952838,0.981037735939026
baseline,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.3344774512071755,-0.006040950616200802
baseline,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,1.3652431154216749,-0.0028357903162637976
baseline,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.3415460369857284,-0.005945682525634766
corrupt_component,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,0.9387497499666895,-8.434057235706671e-05
corrupt_component,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,0.9114245265990679,0.0035580992698669434
corrupt_component,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,0.9231622837694311,-0.004808843135833851
corrupt_unrelated_matched,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,0.3529047442369869,-0.002395153045654297
corrupt_unrelated_matched,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,0.26278923462751475,0.005368073781331528
corrupt_unrelated_matched,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,0.28432282208814724,-0.0017098585764565577
delay_component,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.2877789279596281,-0.007232864697774399
delay_component,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,1.3345396749231733,-0.002426942189534542
delay_component,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.3272053157218457,-0.005799810091654312
delay_unrelated_matched,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.300165898605386,-0.004846592744191525
delay_unrelated_matched,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,1.3415466003161254,-0.0034237106641133996
delay_unrelated_matched,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.3295521687266514,-0.0066272815068562085
upweight_component,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.3144491540556373,-0.003045519193013546
upweight_component,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,1.3584189219474143,-0.0017177859942116847
upweight_component,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.34090379661155,-0.00523575146993005
upweight_fake_component,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.2851191044170758,-0.008631130059560288
upweight_fake_component,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,1.304882015483005,-0.0015880068143208081
upweight_fake_component,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.3098741214674212,-0.006991823514302498
upweight_surface_control,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.2899428748972563,-0.0036671956380207593
upweight_surface_control,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,1.3243871503489335,-9.771188100171635e-05
upweight_surface_control,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.3151097180679978,-0.0031512975692749023
upweight_unrelated_matched,0,C02_and_05_09,component_minus_controls,component_minus_mean_controls,1.2983141426790983,-0.006903886795043945
upweight_unrelated_matched,0,C03_and_04_05,component_minus_controls,component_minus_mean_controls,1.3197608672316297,-0.0009788274765013538
upweight_unrelated_matched,0,C06_and_05_09,component_minus_controls,component_minus_mean_controls,1.32963782703779,-0.007273375988006481
